Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisao,Grupo,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
2,2024-11-13 00:00:00,23h40,PAH,Eng. Informática,9,5,Biotecnologia,2.0,B,856,854,1.3710190645764506,1.3710190645764506,1.0605404816140187,145.40212190479104,145.40212190479104,0.4953949600290233,-0.4953949600290234,72,-72,928,782,False,0,0,928,782
2,2024-11-13 00:00:00,0h00,PAH,Design,14,6,Bioquímica,2.0,B,646,646,1.3710190645764506,1.3710190645764506,1.0884229198901703,149.22485734913903,149.22485734913903,0.5,-0.5,75,-75,721,571,False,0,0,721,571
2,2024-11-13 00:00:00,0h00,PAH,Psicologia,21,2,Educaçao Básica,2.0,B,854,631,1.3710190645764506,1.3710190645764506,1.2650827381797884,173.44525523110684,173.44525523110684,0.11365830607971272,-0.11365830607971271,20,-20,874,611,False,0,0,874,611
3,2024-12-04 00:00:00,18h40,PAH,Biotecnologia,6,10,Eng. Civil,2.0,B,782,563,1.0,1.0,1.0524097791489255,105.24097791489255,105.24097791489255,-0.8825771351352818,0.8825771351352818,-93,93,689,656,False,0,0,689,656
3,2024-12-04 00:00:00,18h40,PAH,AP,3,20,LRE,2.0,B,714,939,1.0,1.0,1.2089013820911636,120.89013820911636,120.89013820911636,-0.11181576977811694,0.11181576977811691,-14,14,700,953,False,0,0,700,953
3,2024-12-04 00:00:00,19h00,PAH,Educaçao Básica,3,18,Design,2.0,B,611,721,1.0,1.0,1.1962311988513155,119.62311988513154,119.62311988513154,-0.2663662975861926,0.26636629758619257,-32,32,579,753,False,0,0,579,753
3,2024-12-04 00:00:00,19h00,PAH,Bioquímica,4,8,Eng. Informática,2.0,B,571,928,1.0,1.0,1.0717734625362931,107.17734625362931,107.17734625362931,-0.03598198752733396,0.03598198752733406,-4,4,567,932,False,0,0,567,932
4,2024-12-04 00:00:00,19h20,PAH,Eng. Civil,12,6,Bioquímica,2.0,B,656,567,1.0,1.0,1.0717734625362931,107.17734625362931,107.17734625362931,0.3058230371276305,-0.3058230371276305,33,-33,689,534,False,0,0,689,534
3,2024-12-04 00:00:00,19h20,PAH,Eng. Compotacional,8,16,Psicologia,2.0,B,797,874,1.0,1.0,1.0717734625362931,107.17734625362931,107.17734625362931,-0.32977647301867535,0.3297764730186753,-35,35,762,909,False,0,0,762,909
4,2024-12-04 00:00:00,19h40,PAH,AP,6,15,Eng. Compotacional,2.0,B,700,762,1.0,1.0,1.0959582263852172,109.59582263852172,109.59582263852172,-0.36099663047456637,0.3609966304745663,-40,40,660,802,False,0,0,660,802
4,2024-12-04 00:00:00,19h40,PAH,LRE,6,8,Biotecnologia,2.0,B,953,689,1.0,1.0,1.0291860089647606,102.91860089647606,102.91860089647606,-0.9192002300325278,0.9192002300325279,-95,95,858,784,False,0,0,858,784
4,2024-12-04 00:00:00,20h00,PAH,Eng. Informática,14,1,Educaçao Básica,2.0,B,932,579,1.0,1.0,1.3020054543174677,130.20054543174678,130.20054543174678,0.03728199089303896,-0.03728199089303898,5,-5,937,574,False,0,0,937,574
4,2024-12-04 00:00:00,20h00,PAH,Design,11,9,Psicologia,2.0,B,753,909,1.0,1.0,1.0202697667623288,102.02697667623288,102.02697667623288,0.807960656227145,-0.8079606562271449,82,-82,835,827,False,0,0,835,827
3,2024-12-04 00:00:00,20h20,PAH,Matemática,7,3,Biologia e Geologia,2.0,A,785,571,1.0,1.0,1.0884229198901703,108.84229198901703,108.84229198901703,0.12228013947680871,-0.12228013947680864,13,-13,798,558,False,0,0,798,558
3,2024-12-04 00:00:00,20h20,PAH,Eng. Biomédica,9,6,Eng. Física,2.0,A,714,880,1.0,1.0,1.0413797439924106,104.13797439924106,104.13797439924106,0.8218477301760605,-0.8218477301760605,86,-86,800,794,False,0,0,800,794
3,2024-12-04 00:00:00,20h40,PAH,Finanças,3,13,TI,2.0,A,731,925,1.0,1.0,1.1579297436409763,115.79297436409763,115.79297436409763,-0.14346475985469692,0.14346475985469687,-17,17,714,942,False,0,0,714,942
3,2024-12-04 00:00:00,20h40,PAH,Eng. Química,5,9,GPT,2.0,A,877,765,1.0,1.0,1.0605404816140187,106.05404816140187,106.05404816140187,-0.7372178586884377,0.7372178586884377,-78,78,799,843,False,0,0,799,843
3,2024-12-04 00:00:00,21h00,PAH,DPT,9,10,Gestao,2.0,A,624,628,1.0,1.0,1.0105917512032914,101.05917512032914,101.05917512032914,-0.4907907012420864,0.49079070124208646,-50,50,574,678,False,0,0,574,678
4,2024-12-04 00:00:00,21h00,PAH,Biologia e Geologia,2,6,Finanças,2.0,A,558,714,1.0,1.0,1.1161231740339044,111.61231740339043,111.61231740339043,-0.19203934377285506,0.19203934377285514,-21,21,537,735,False,0,0,537,735
4,2024-12-04 00:00:00,21h20,PAH,Eng. Biomédica,6,8,DPT,2.0,A,800,574,1.0,1.0,1.0291860089647606,102.91860089647606,102.91860089647606,-0.889095671658805,0.889095671658805,-92,92,708,666,False,0,0,708,666
4,2024-12-04 00:00:00,21h20,PAH,Eng. Física,4,10,Matemática,2.0,A,794,798,1.0,1.0,1.0959582263852172,109.59582263852172,109.59582263852172,-0.4907907012420864,0.49079070124208646,-54,54,740,852,False,0,0,740,852
4,2024-12-04 00:00:00,21h40,PAH,GPT,13,11,Gestao,2.0,A,843,678,1.0,1.0,1.0168457240564814,101.68457240564814,101.68457240564814,0.179504792713577,-0.17950479271357694,18,-18,861,660,False,0,0,861,660
4,2024-12-04 00:00:00,21h40,PAH,TI,18,7,Eng. Química,2.0,A,942,799,1.0,1.0,1.0990499896602912,109.90499896602913,109.90499896602913,0.21130473672903716,-0.21130473672903713,23,-23,965,776,False,0,0,965,776
3,2024-12-04 00:00:00,22h00,PAH,EET,14,11,MTC,1.0,,720,922,1.0,1.0,1.0244093531614127,102.44093531614126,102.44093531614126,0.8653539062672898,-0.8653539062672898,89,-89,809,833,False,0,0,809,833
3,2024-12-04 00:00:00,22h00,PAH,Biologia,10,13,EGI,1.0,,629,577,1.0,1.0,1.026583631304232,102.6583631304232,102.6583631304232,-0.6174969965811122,0.6174969965811122,-63,63,566,640,False,0,0,566,640
3,2024-12-04 00:00:00,22h20,PAH,Economia,7,9,Fisioterapia,1.0,,628,728,1.0,1.0,1.0254498997012387,102.54498997012386,102.54498997012386,-0.2847472489508014,0.2847472489508013,-29,29,599,757,False,0,0,599,757
3,2024-12-04 00:00:00,22h20,PAH,Eng. Aeroespacial,10,11,Eng. Mecânica,1.0,,767,870,1.0,1.0,1.009576582776887,100.9576582776887,100.9576582776887,-0.2791533687626555,0.2791533687626555,-28,28,739,898,False,0,0,739,898
4,2024-12-04 00:00:00,22h40,PAH,EGI,13,16,Eng. Aeroespacial,1.0,,640,739,1.0,1.0,1.0209810068151601,102.09810068151602,102.09810068151602,-0.2866267974788699,0.2866267974788699,-29,29,611,768,False,0,0,611,768
3,2024-12-04 00:00:00,22h40,PAH,ECT,8,14,Eng. Materiais,1.0,,783,876,1.0,1.0,1.0575570503382523,105.75570503382524,105.75570503382524,-0.298058214763022,0.29805821476302197,-32,32,751,908,False,0,0,751,908
4,2024-12-04 00:00:00,23h00,PAH,EET,21,7,ECT,1.0,,809,751,1.0,1.0,1.1161231740339044,111.61231740339043,111.61231740339043,0.36953789879560306,-0.36953789879560306,41,-41,850,710,False,0,0,850,710
4,2024-12-04 00:00:00,23h00,PAH,MTC,9,12,Biologia,1.0,,833,566,1.0,1.0,1.0291860089647606,102.91860089647606,102.91860089647606,-0.9212287924615202,0.9212287924615202,-95,95,738,661,False,0,0,738,661
4,2024-12-04 00:00:00,23h20,PAH,Fisioterapia,11,22,Eng. Materiais,1.0,,757,908,1.0,1.0,1.0717734625362931,107.17734625362931,107.17734625362931,-0.19928623210699686,0.19928623210699692,-21,21,736,929,False,0,0,736,929
4,2024-12-04 00:00:00,23h20,PAH,Eng. Mecânica,21,6,Economia,1.0,,898,599,1.0,1.0,1.1334615816706974,113.34615816706975,113.34615816706975,0.05986723347799783,-0.05986723347799784,7,-7,905,592,False,0,0,905,592
5,2025-02-24 00:00:00,20h20,Caixa UA,Eng. Aeroespacial,11,14,MTC,1.0,,768,738,1.4142135623730951,1.4142135623730951,1.0244093531614127,144.87336006627194,144.87336006627194,-0.5686413918836677,0.5686413918836677,-82,82,686,820,False,0,0,686,820
5,2025-02-24 00:00:00,20h20,Caixa UA,Economia,10,4,EGI,1.0,,592,611,1.4142135623730951,1.4142135623730951,1.0959582263852172,154.9918987548337,154.9918987548337,0.5436378107317177,-0.5436378107317176,84,-84,676,527,False,0,0,676,527
5,2025-02-24 00:00:00,20h40,Caixa UA,Eng. Materiais,6,11,Eng. Mecânica,1.0,,929,905,1.4142135623730951,1.4142135623730951,1.0624882685141506,150.25853191950185,150.25853191950185,-0.5550381171426981,0.5550381171426981,-83,83,846,988,False,0,0,846,988
5,2025-02-24 00:00:00,20h40,Caixa UA,Biologia,8,9,EET,1.0,,661,850,1.4142135623730951,1.4142135623730951,1.011847940917809,143.09690811052556,143.09690811052556,-0.14921714590912669,0.1492171459091266,-21,21,640,871,False,0,0,640,871
6,2025-02-24 00:00:00,21h00,Caixa UA,EGI,10,12,Eng. Materiais,1.0,,527,846,1.1709052329614258,1.1709052329614258,1.0183993761470242,119.24491587752021,119.24491587752021,-0.05030202975755316,0.050302029757553046,-6,6,521,852,False,0,0,521,852
5,2025-02-24 00:00:00,21h00,Caixa UA,ECT,10,3,Fisioterapia,1.0,,710,736,1.4142135623730951,1.4142135623730951,1.1279448730054993,159.51549370135754,159.51549370135754,0.5595827514697412,-0.5595827514697413,89,-89,799,647,False,0,0,799,647
6,2025-02-24 00:00:00,21h20,Caixa UA,EET,10,4,Eng. Aeroespacial,1.0,,871,686,1.1709052329614258,1.1709052329614258,1.0959582263852172,128.3263222381574,128.3263222381574,0.1539548995679052,-0.15395489956790523,20,-20,891,666,False,0,0,891,666
6,2025-02-24 00:00:00,21h20,Caixa UA,MTC,3,6,Economia,1.0,,820,676,1.1709052329614258,1.1709052329614258,1.0717734625362931,125.49451558329322,125.49451558329322,-0.790226131587058,0.7902261315870581,-99,99,721,775,False,0,0,721,775
6,2025-02-24 00:00:00,21h40,Caixa UA,Eng. Mecânica,14,6,Fisioterapia,1.0,,988,647,1.1709052329614258,1.1709052329614258,1.0884229198901703,127.4440092574555,127.4440092574555,0.041458256182546505,-0.04145825618254646,5,-5,993,642,False,0,0,993,642
6,2025-02-24 00:00:00,21h40,Caixa UA,Biologia,14,13,ECT,1.0,,640,799,1.1709052329614258,1.1709052329614258,1.0074383251323098,117.96148067833158,117.96148067833158,0.8122114503474263,-0.8122114503474263,96,-96,736,703,False,0,0,736,703
5,2025-02-24 00:00:00,22h00,Caixa UA,Eng. Química,17,3,Biologia e Geologia,2.0,A,776,537,1.4142135623730951,1.4142135623730951,1.1894132348229451,168.2084327952664,168.2084327952664,0.09963637965067962,-0.09963637965067959,17,-17,793,520,False,0,0,793,520
5,2025-02-24 00:00:00,22h00,Caixa UA,Finanças,7,8,Eng. Física,2.0,A,735,740,1.4142135623730951,1.4142135623730951,1.0134426905796656,143.32243977056433,143.32243977056433,-0.4884891087822083,0.4884891087822083,-70,70,665,810,False,0,0,665,810
5,2025-02-24 00:00:00,22h20,Caixa UA,Matemática,9,8,Eng. Biomédica,2.0,A,852,708,1.4142135623730951,1.4142135623730951,1.011847940917809,143.09690811052556,143.09690811052556,0.209773868412942,-0.2097738684129419,30,-30,882,678,False,0,0,882,678
5,2025-02-24 00:00:00,22h20,Caixa UA,Gestao,10,19,TI,2.0,A,660,965,1.4142135623730951,1.4142135623730951,1.0662900584785258,150.7961862123932,150.7961862123932,-0.05683152084009725,0.05683152084009724,-9,9,651,974,False,0,0,651,974
5,2025-02-24 00:00:00,22h40,Caixa UA,DPT,4,11,GPT,2.0,A,666,861,1.4142135623730951,1.4142135623730951,1.1064537610602057,156.47619150300628,156.47619150300628,-0.1423366814461431,0.1423366814461431,-22,22,644,883,False,0,0,644,883
6,2025-02-24 00:00:00,22h40,Caixa UA,Biologia e Geologia,11,10,Gestao,2.0,A,520,651,1.1709052329614258,1.1709052329614258,1.009576582776887,118.21185038487711,118.21185038487711,0.769688755555601,-0.769688755555601,91,-91,611,560,False,0,0,611,560
6,2025-02-24 00:00:00,23h00,Caixa UA,Eng. Biomédica,12,11,Finanças,2.0,A,678,665,1.1709052329614258,1.1709052329614258,1.0087391026304013,118.11378939627497,118.11378939627497,0.4701021041073924,-0.47010210410739234,56,-56,734,609,False,0,0,734,609
6,2025-02-24 00:00:00,23h00,Caixa UA,Eng. Física,4,6,Eng. Química,2.0,A,810,793,1.1709052329614258,1.1709052329614258,1.0413797439924106,121.93569917407434,121.93569917407434,-0.5390641711450747,0.5390641711450745,-66,66,744,859,False,0,0,744,859
6,2025-02-24 00:00:00,23h20,Caixa UA,TI,10,6,GPT,2.0,A,974,883,1.1709052329614258,1.1709052329614258,1.0524097791489255,123.22721176252553,123.22721176252553,0.30192646078852325,-0.3019264607885232,37,-37,1011,846,False,0,0,1011,846
6,2025-02-24 00:00:00,23h20,Caixa UA,Matemática,6,4,DPT,2.0,A,882,644,1.1709052329614258,1.1709052329614258,1.0413797439924106,121.93569917407434,121.93569917407434,0.10046568199024475,-0.10046568199024475,12,-12,894,632,False,0,0,894,632
5,2025-02-25 00:00:00,21h20,Caixa UA,Educaçao Básica,4,8,Eng. Civil,2.0,B,574,689,1.4142135623730951,1.4142135623730951,1.0717734625362931,151.5716566510398,151.5716566510398,-0.25746444105693017,0.2574644410569302,-39,39,535,728,False,0,0,535,728
5,2025-02-25 00:00:00,21h20,Caixa UA,Bioquímica,4,16,LRE,2.0,B,534,858,1.4142135623730951,1.4142135623730951,1.148698354997035,162.45047927124713,162.45047927124713,-0.0481470687239387,0.0481470687239387,-8,8,526,866,False,0,0,526,866
5,2025-02-25 00:00:00,21h40,Caixa UA,Biotecnologia,12,8,AP,2.0,B,784,660,1.4142135623730951,1.4142135623730951,1.0413797439924106,147.27333575346887,147.27333575346887,0.24193827059114958,-0.24193827059114958,36,-36,820,624,False,0,0,820,624
5,2025-02-25 00:00:00,21h40,Caixa UA,Psicologia,16,11,Eng. Informática,2.0,B,827,937,1.4142135623730951,1.4142135623730951,1.0381801711228769,146.82084781887932,146.82084781887932,0.7336337024138073,-0.7336337024138074,108,-108,935,829,False,0,0,935,829
5,2025-02-25 00:00:00,22h00,Caixa UA,Eng. Compotacional,8,7,Design,2.0,B,802,835,1.4142135623730951,1.4142135623730951,1.0134426905796656,143.32243977056433,143.32243977056433,0.5754056999594935,-0.5754056999594935,82,-82,884,753,False,0,0,884,753
6,2025-02-25 00:00:00,22h00,Caixa UA,Eng. Civil,16,12,Psicologia,2.0,B,728,935,1.1709052329614258,1.1709052329614258,1.0291860089647606,120.50792835875231,120.50792835875231,0.8706299870934034,-0.8706299870934036,105,-105,833,830,False,0,0,833,830
6,2025-02-25 00:00:00,22h20,Caixa UA,LRE,9,3,Educaçao Básica,2.0,B,866,535,1.1709052329614258,1.1709052329614258,1.1161231740339044,130.68744651058148,130.68744651058148,0.04527697430779387,-0.04527697430779393,6,-6,872,529,False,0,0,872,529
6,2025-02-25 00:00:00,22h20,Caixa UA,AP,13,8,Bioquímica,2.0,B,624,526,1.1709052329614258,1.1709052329614258,1.0497486783613876,122.91562207876895,122.91562207876895,0.2885137480285873,-0.2885137480285873,35,-35,659,491,False,0,0,659,491
6,2025-02-25 00:00:00,22h40,Caixa UA,Biotecnologia,9,6,Eng. Compotacional,2.0,B,820,884,1.1709052329614258,1.1709052329614258,1.0413797439924106,121.93569917407434,121.93569917407434,0.6432416443809801,-0.6432416443809801,78,-78,898,806,False,0,0,898,806
6,2025-02-25 00:00:00,22h40,Caixa UA,Eng. Informática,14,4,Design,2.0,B,829,753,1.1709052329614258,1.1709052329614258,1.1334615816706974,132.71760973389542,132.71760973389542,0.3318153610257015,-0.3318153610257015,44,-44,873,709,False,0,0,873,709
7,2025-03-19 00:00:00,19h00,PAH,Design,19,11,Eng. Civil,2.0,B,709,833,1.0730485939541088,1.0730485939541088,1.0561755063153762,113.33276420204832,113.33276420204832,0.7580617294088504,-0.7580617294088504,86,-86,795,747,False,0,0,795,747
7,2025-03-19 00:00:00,19h00,PAH,Psicologia,5,14,LRE,2.0,B,830,872,1.0730485939541088,1.0730485939541088,1.108449222600272,118.94198797807468,118.94198797807468,-0.4044796113015708,0.40447961130157084,-48,48,782,920,False,0,0,782,920
7,2025-03-19 00:00:00,19h20,PAH,Bioquímica,7,10,Biotecnologia,2.0,B,491,898,1.0730485939541088,1.0730485939541088,1.0363112099103142,111.20122866931439,111.20122866931439,-0.023008628302878857,0.023008628302878753,-3,3,488,901,False,0,0,488,901
7,2025-03-19 00:00:00,19h20,PAH,Educaçao Básica,1,8,AP,2.0,B,529,659,1.0730485939541088,1.0730485939541088,1.2311444133449163,132.10777816942186,132.10777816942186,-0.23194799683241596,0.23194799683241607,-31,31,498,690,False,0,0,498,690
8,2025-03-19 00:00:00,19h40,PAH,LRE,19,15,Design,2.0,B,920,795,1.0,1.0,1.0239204907045867,102.39204907045867,102.39204907045867,0.24025307335204216,-0.2402530733520421,25,-25,945,770,False,0,0,945,770
7,2025-03-19 00:00:00,19h40,PAH,Eng. Compotacional,7,16,Eng. Informática,2.0,B,806,873,1.0730485939541088,1.0730485939541088,1.0861809815646652,116.55249750476577,116.55249750476577,-0.3504429359725488,0.35044293597254883,-41,41,765,914,False,0,0,765,914
8,2025-03-19 00:00:00,20h00,PAH,AP,9,10,Psicologia,2.0,B,690,782,1.0,1.0,1.0105917512032914,101.05917512032914,101.05917512032914,-0.2999887748147414,0.2999887748147414,-30,30,660,812,False,0,0,660,812
8,2025-03-19 00:00:00,20h00,PAH,Eng. Civil,13,19,Eng. Informática,2.0,B,747,914,1.0,1.0,1.0386782196437794,103.86782196437794,103.86782196437794,-0.17680774181895734,0.17680774181895742,-18,18,729,932,False,0,0,729,932
8,2025-03-19 00:00:00,20h20,PAH,Biotecnologia,20,1,Educaçao Básica,2.0,B,901,498,1.0,1.0,1.3492828476735634,134.92828476735633,134.92828476735633,0.023851510433723244,-0.023851510433723133,3,-3,904,495,False,0,0,904,495
8,2025-03-19 00:00:00,20h20,PAH,Bioquímica,10,12,Eng. Compotacional,2.0,B,488,765,1.0,1.0,1.0183993761470242,101.83993761470242,101.83993761470242,-0.07234159560288331,0.07234159560288334,-7,7,481,772,False,0,0,481,772
7,2025-03-19 00:00:00,20h40,PAH,GPT,6,7,Biologia e Geologia,2.0,A,846,611,1.0730485939541088,1.0730485939541088,1.0155344930023524,108.97178598280729,108.97178598280729,-0.8970095263772729,0.897009526377273,-98,98,748,709,False,0,0,748,709
7,2025-03-19 00:00:00,20h40,PAH,Gestao,9,12,Eng. Física,2.0,A,560,744,1.0730485939541088,1.0730485939541088,1.0291860089647606,110.43665998368772,110.43665998368772,-0.15515839936263176,0.15515839936263176,-17,17,543,761,False,0,0,543,761
7,2025-03-19 00:00:00,21h00,PAH,Eng. Química,10,9,Eng. Biomédica,2.0,A,859,734,1.0730485939541088,1.0730485939541088,1.0105917512032914,108.44140576903122,108.44140576903122,0.24025307335204216,-0.2402530733520421,26,-26,885,708,False,0,0,885,708
7,2025-03-19 00:00:00,21h00,PAH,Finanças,6,13,Matemática,2.0,A,609,894,1.0730485939541088,1.0730485939541088,1.0803866526987886,115.93073786052211,115.93073786052211,-0.06755002899657621,0.06755002899657614,-8,8,601,902,False,0,0,601,902
7,2025-03-19 00:00:00,21h20,PAH,DPT,5,8,TI,2.0,A,632,1011,1.0730485939541088,1.0730485939541088,1.0481223894689577,112.46862563114858,112.46862563114858,-0.029577459975623575,0.029577459975623555,-3,3,629,1014,False,0,0,629,1014
8,2025-03-19 00:00:00,21h20,PAH,Eng. Física,10,8,GPT,2.0,A,761,748,1.0,1.0,1.0225651825635729,102.25651825635728,102.25651825635728,0.4701021041073924,-0.47010210410739234,48,-48,809,700,False,0,0,809,700
8,2025-03-19 00:00:00,21h40,PAH,Biologia e Geologia,5,9,TI,2.0,A,709,1014,1.0,1.0,1.0605404816140187,106.05404816140187,106.05404816140187,-0.05683152084009725,0.05683152084009724,-6,6,703,1020,False,0,0,703,1020
8,2025-03-19 00:00:00,21h40,PAH,Eng. Biomédica,18,8,Gestao,2.0,A,708,543,1.0,1.0,1.0844717711976986,108.44717711976986,108.44717711976986,0.179504792713577,-0.17950479271357694,19,-19,727,524,False,0,0,727,524
8,2025-03-19 00:00:00,22h00,PAH,Finanças,4,3,DPT,2.0,A,601,629,1.0,1.0,1.0291860089647606,102.91860089647606,102.91860089647606,0.5641174210445887,-0.5641174210445886,58,-58,659,571,False,0,0,659,571
