Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisao,Grupo,Fonte_Data,Fonte_Local,Data_Placeholder,Local_Placeholder,Falta de Comparência,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Was In Previous Season 1,Was In Previous Season 2,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2025-10-22 00:00:00,21h40,Caixa UA,Eng. Física,11,9,"Línguas, Literaturas e Culturas",2,B,Excel,Excel,False,False,,400,304,2.0,2.0,1.0202697667623288,204.05395335246575,204.05395335246575,0.29230970749986673,-0.2923097074998667,60,-60,460,244,False,True,True,0,0,460,244
1,2025-10-22 00:00:00,22h00,Caixa UA,Gestão,8,14,Eng. Biomédica,2,B,Excel,Excel,False,False,,475,578,2.0,2.0,1.0575570503382523,211.51141006765047,211.51141006765047,-0.2791533687626555,0.2791533687626555,-59,59,416,637,False,True,True,0,0,416,637
2,2025-10-22 00:00:00,22h00,Caixa UA,Eng. Aeroespacial,4,9,Eng. e Gestão Industrial,1,,Excel,Excel,False,False,,704,1029,2.0,1.4344650847254958,1.0844717711976986,216.89435423953972,155.56368911535154,-0.0477267210342039,0.047726721034203834,-10,7,694,1036,False,True,True,0,0,694,1036
1,2025-10-22 00:00:00,22h20,Caixa UA,Administração Pública,17,12,Eng. Computacional,2,B,Excel,Excel,False,False,,546,612,2.0,2.0,1.03544436156698,207.088872313396,207.088872313396,0.647457612429252,-0.6474576124292521,134,-134,680,478,False,True,True,0,0,680,478
2,2025-10-22 00:00:00,22h20,Caixa UA,Eng. Informática,5,8,Eng. Computadores e Telemática,1,,Excel,Excel,False,False,,982,907,2.0,2.0,1.0481223894689577,209.62447789379155,209.62447789379155,-0.6661394245831221,0.666139424583122,-140,140,842,1047,False,True,True,0,0,842,1047
2,2025-10-22 00:00:00,22h20,Caixa UA,Eng. Mecânica B,6,5,Eng. Física,2,B,Excel,Excel,False,False,,193,460,1.3333333333333333,1.3333333333333333,1.0183993761470242,135.78658348626988,135.78658348626988,0.9212287924615202,-0.9212287924615202,125,-125,318,335,False,True,True,0,0,318,335
2,2025-10-22 00:00:00,22h20,Caixa UA,"Línguas, Literaturas e Culturas",6,10,Gestão,2,B,Excel,Excel,False,False,,244,416,1.3333333333333333,1.3333333333333333,1.0524097791489255,140.3213038865234,140.3213038865234,-0.17020451209506998,0.17020451209506993,-24,24,220,440,False,True,True,0,0,220,440
2,2025-10-22 00:00:00,22h40,Caixa UA,Eng. Mecânica,13,15,Eng. de Materiais,1,,Excel,Excel,False,False,,1382,1220,1.4344650847254958,2.0,1.0144129637732298,145.51399780256074,202.88259275464594,-0.8163895355022526,0.8163895355022526,-119,166,1263,1386,False,True,True,0,0,1263,1386
2,2025-10-22 00:00:00,23h00,Caixa UA,Matemática,7,5,MTC,1,,Excel,Excel,False,False,,888,743,1.4344650847254958,1.4344650847254958,1.0342196941293802,148.35520411640778,148.35520411640778,0.20825116249181552,-0.20825116249181558,31,-31,919,712,False,True,True,0,0,919,712
2,2025-10-22 00:00:00,23h00,Caixa UA,Eng. Biomédica,13,9,Administração Pública,2,B,Excel,Excel,False,False,,637,680,1.3333333333333333,1.3333333333333333,1.037456949716378,138.32759329551703,138.32759329551703,0.5977369715492629,-0.5977369715492628,83,-83,720,597,False,True,True,0,0,720,597
2,2025-10-22 00:00:00,23h00,Caixa UA,Eng. Computacional,5,11,Ciências do Mar,2,B,Excel,Excel,False,False,,478,369,1.3333333333333333,2.0,1.0820373898183429,144.27165197577904,216.40747796366858,-0.7318299924954319,0.7318299924954319,-106,158,372,527,False,True,True,0,0,372,527
2,2025-10-22 00:00:00,23h20,Caixa UA,Eng. Eletrónica e Telecomunicações,4,13,Tecnologias de Informação,1,,Excel,Excel,False,False,,1156,678,1.4344650847254958,1.4344650847254958,1.125092775800282,161.3906303962395,161.3906303962395,-0.9879019921710117,0.9879019921710117,-159,159,997,837,False,True,True,0,0,997,837
2,2025-10-22 00:00:00,23h40,Caixa UA,Biotecnologia,9,10,Biologia,1,,Excel,Excel,False,False,,756,775,1.4344650847254958,1.4344650847254958,1.0105917512032914,144.96585820127166,144.96585820127166,-0.4563621892682823,0.4563621892682824,-66,66,690,841,False,True,True,0,0,690,841
3,2025-12-17 00:00:00,19h40,Caixa UA,Eng. Aeroespacial,13,3,Eng. Informática,1,,Excel,Excel,False,False,,694,842,1.4344650847254958,1.4344650847254958,1.1579297436409763,166.1009787818125,166.1009787818125,0.7962679946654356,-0.7962679946654356,132,-132,826,710,False,True,True,0,0,826,710
3,2025-12-17 00:00:00,20h00,Caixa UA,Eng. Computadores e Telemática,8,10,Eng. Mecânica,1,,Excel,Excel,False,False,,1047,1263,1.4344650847254958,1.2137926106053525,1.0225651825635729,146.68340512433977,124.1182062457978,-0.1203168061606324,0.12031680616063234,-18,15,1029,1278,False,True,True,0,0,1029,1278
3,2025-12-17 00:00:00,20h20,Caixa UA,Eng. de Materiais,12,8,Matemática,1,,Excel,Excel,False,False,,1386,919,1.4344650847254958,1.2137926106053525,1.0413797439924106,149.38228826974887,126.40190380920816,0.013370695868739624,-0.013370695868739542,2,-2,1388,917,False,True,True,0,0,1388,917
3,2025-12-17 00:00:00,20h40,Caixa UA,MTC,10,12,Eng. Eletrónica e Telecomunicações,1,,Excel,Excel,False,False,,712,997,1.2137926106053525,1.2137926106053525,1.0183993761470242,123.61256374123589,123.61256374123589,-0.06755002899657621,0.06755002899657614,-8,8,704,1005,False,True,True,0,0,704,1005
3,2025-12-17 00:00:00,20h40,Caixa UA,Gestão,10,7,Eng. Mecânica B,2,B,Excel,Excel,False,False,,440,318,1.0,1.0,1.0363112099103142,103.63112099103142,103.63112099103142,0.2453327399839037,-0.24533273998390362,25,-25,465,293,False,True,True,0,0,465,293
3,2025-12-17 00:00:00,21h00,Caixa UA,Tecnologias de Informação,8,10,Biotecnologia,1,,Excel,Excel,False,False,,837,690,1.2137926106053525,1.2137926106053525,1.0225651825635729,124.1182062457978,124.1182062457978,-0.7947697669965003,0.7947697669965004,-99,99,738,789,False,True,True,0,0,738,789
3,2025-12-17 00:00:00,21h00,Caixa UA,Eng. Física,9,7,Psicologia,2,B,Excel,Excel,False,False,,335,453,1.0,1.3333333333333333,1.0254498997012387,102.54498997012386,136.72665329349846,0.7477824649385736,-0.7477824649385735,77,-102,412,351,False,True,True,0,0,412,351
3,2025-12-17 00:00:00,21h20,Caixa UA,Eng. e Gestão Industrial,7,6,Biologia,1,,Excel,Excel,False,False,,1036,841,1.2137926106053525,1.2137926106053525,1.0155344930023524,123.26482634211084,123.26482634211084,0.1423366814461431,-0.1423366814461431,18,-18,1054,823,False,True,True,0,0,1054,823
3,2025-12-17 00:00:00,21h20,Caixa UA,Administração Pública,14,4,"Línguas, Literaturas e Culturas",2,B,Excel,Excel,False,False,,597,220,1.0,1.0,1.1334615816706974,113.34615816706975,113.34615816706975,0.030110788509549402,-0.030110788509549295,3,-3,600,217,False,True,True,0,0,600,217
3,2025-12-17 00:00:00,21h40,Caixa UA,Ciências do Mar,9,14,Eng. Biomédica,2,B,Excel,Excel,False,False,,527,720,1.3333333333333333,1.0,1.0451738918191427,139.356518909219,104.51738918191427,-0.1446002714121449,0.14460027141214493,-20,15,507,735,False,True,True,0,0,507,735
4,2025-12-17 00:00:00,21h40,Caixa UA,Eng. Informática,12,13,Eng. e Gestão Industrial,1,,Excel,Excel,False,False,,710,1054,1.2137926106053525,1.0,1.0080363905839886,122.35471221121362,100.80363905839886,-0.040374020295134705,0.040374020295134705,-5,4,705,1058,False,True,True,0,0,705,1058
3,2025-12-17 00:00:00,22h00,Caixa UA,Economia,4,15,Contabilidade,2,A,Excel,Excel,False,False,,450,813,1.3333333333333333,1.3333333333333333,1.141308697219414,152.17449296258852,152.17449296258852,-0.034113486065083694,0.03411348606508369,-5,5,445,818,False,True,True,0,0,445,818
4,2025-12-17 00:00:00,22h00,Caixa UA,Eng. Mecânica,11,10,Eng. Aeroespacial,1,,Excel,Excel,False,False,,1278,826,1.0,1.2137926106053525,1.009576582776887,100.9576582776887,122.54165960147884,0.015321262733588137,-0.015321262733588194,2,-2,1280,824,False,True,True,0,0,1280,824
3,2025-12-17 00:00:00,22h20,Caixa UA,Música,2,21,Eng. Civil,2,A,Excel,Excel,False,False,,302,809,1.0,2.0,1.2650827381797884,126.50827381797885,253.0165476359577,-0.009288534300655576,0.00928853430065546,-1,2,301,811,False,True,True,0,0,301,811
4,2025-12-17 00:00:00,22h20,Caixa UA,Matemática,8,13,Eng. Computadores e Telemática,1,,Excel,Excel,False,False,,917,1029,1.0,1.2137926106053525,1.0497486783613876,104.97486783613877,127.41771887877871,-0.26278214131156236,0.2627821413115623,-28,33,889,1062,False,True,True,0,0,889,1062
3,2025-12-17 00:00:00,22h40,Caixa UA,Biologia e Geologia,7,8,Design,2,A,Excel,Excel,False,False,,559,622,1.3333333333333333,1.3333333333333333,1.0134426905796656,135.12569207728873,135.12569207728873,-0.3588747385866579,0.35887473858665786,-48,48,511,670,False,True,True,0,0,511,670
4,2025-12-17 00:00:00,22h40,Caixa UA,Eng. Eletrónica e Telecomunicações,10,12,Eng. de Materiais,1,,Excel,Excel,False,False,,1005,1388,1.0,1.2137926106053525,1.0183993761470242,101.83993761470242,123.61256374123589,-0.028538145779449048,0.02853814577944902,-3,4,1002,1392,False,True,True,0,0,1002,1392
3,2025-12-17 00:00:00,23h00,Caixa UA,Física,9,7,Gestão e Planeamento em Turismo,2,A,Excel,Excel,False,False,,440,640,1.0,1.0,1.0254498997012387,102.54498997012386,102.54498997012386,0.86319311139679,-0.8631931113967899,89,-89,529,551,False,True,True,0,0,529,551
4,2025-12-17 00:00:00,23h00,Caixa UA,Biotecnologia,8,17,MTC,1,,Excel,Excel,False,False,,789,704,1.0,1.0,1.0782907841670066,107.82907841670067,107.82907841670067,-0.6863002576833125,0.6863002576833125,-74,74,715,778,False,True,True,0,0,715,778
4,2025-12-17 00:00:00,23h20,Caixa UA,Biologia,11,10,Tecnologias de Informação,1,,Excel,Excel,False,False,,823,738,1.0,1.0,1.009576582776887,100.9576582776887,100.9576582776887,0.3136997423166875,-0.3136997423166875,32,-32,855,706,False,True,True,0,0,855,706
4,2026-02-18 00:00:00,21h20,Caixa UA,Contabilidade,21,0,Física,2,A,Excel,Excel,False,False,,818,529,1.4142135623730951,1.4142135623730951,1.4531984602822678,205.51329713508827,205.51329713508827,0.06526614656558327,-0.06526614656558313,13,-13,831,516,False,True,True,0,0,831,516
4,2026-02-18 00:00:00,21h20,Caixa UA,Eng. Mecânica B,7,8,Administração Pública,2,B,Excel,Excel,False,False,,293,600,1.4142135623730951,1.4142135623730951,1.0134426905796656,143.32243977056433,143.32243977056433,-0.055852163694794524,0.05585216369479462,-8,8,285,608,False,True,True,0,0,285,608
4,2026-02-18 00:00:00,21h40,Caixa UA,Eng. Civil,10,0,Economia,2,A,Excel,Excel,False,False,,811,445,1.4142135623730951,1.4142135623730951,1.3492828476735634,190.81741026573445,190.81741026573445,0.03321467812433243,-0.03321467812433242,6,-6,817,439,False,True,True,0,0,817,439
4,2026-02-18 00:00:00,21h40,Caixa UA,Psicologia,12,11,Gestão,2,B,Excel,Excel,False,False,,351,465,1.4142135623730951,1.4142135623730951,1.0087391026304013,142.65725198359792,142.65725198359792,0.7407708286413635,-0.7407708286413635,106,-106,457,359,False,True,True,0,0,457,359
4,2026-02-18 00:00:00,22h00,Caixa UA,Gestão e Planeamento em Turismo,12,13,Biologia e Geologia,2,A,Excel,Excel,False,False,,551,511,1.4142135623730951,1.4142135623730951,1.0080363905839886,142.55787349294994,142.55787349294994,-0.5910755963149433,0.5910755963149434,-84,84,467,595,False,True,True,0,0,467,595
4,2026-02-18 00:00:00,22h00,Caixa UA,"Línguas, Literaturas e Culturas",13,4,Ciências do Mar,2,B,Excel,Excel,False,False,,217,507,1.4142135623730951,1.4142135623730951,1.125092775800282,159.11214624647508,159.11214624647508,0.9352934990460782,-0.9352934990460783,149,-149,366,358,False,True,True,0,0,366,358
4,2026-02-18 00:00:00,22h20,Caixa UA,Design,8,12,Línguas e Relações Empresariais,2,A,Excel,Excel,False,False,,670,572,1.4142135623730951,1.4142135623730951,1.0413797439924106,147.27333575346887,147.27333575346887,-0.7114862519714127,0.7114862519714127,-105,105,565,677,False,True,True,0,0,565,677
4,2026-02-18 00:00:00,22h20,Caixa UA,Eng. Biomédica,12,16,Eng. Computacional,2,B,Excel,Excel,False,False,,735,372,1.4142135623730951,1.4142135623730951,1.0291860089647606,145.54888120826024,145.54888120826024,-0.9658865139349163,0.9658865139349163,-141,141,594,513,False,True,True,0,0,594,513
5,2026-02-18 00:00:00,22h40,Caixa UA,Biologia e Geologia,7,9,Contabilidade,2,A,Excel,Excel,False,False,,595,831,1.1547005383792515,1.1547005383792515,1.0254498997012387,118.40875512659697,118.40875512659697,-0.10214269670089104,0.10214269670089104,-12,12,583,843,False,True,True,0,0,583,843
5,2026-02-18 00:00:00,22h40,Caixa UA,Ciências do Mar,17,8,Eng. Mecânica B,2,B,Excel,Excel,False,False,,358,285,1.1547005383792515,1.1547005383792515,1.0782907841670066,124.51029490070279,124.51029490070279,0.3379697518271825,-0.3379697518271824,42,-42,400,243,False,True,True,0,0,400,243
5,2026-02-18 00:00:00,23h00,Caixa UA,Física,11,16,Eng. Civil,2,A,Excel,Excel,False,False,,516,817,1.1547005383792515,1.1547005383792515,1.0381801711228769,119.87872025302494,119.87872025302494,-0.058838826516274506,0.05883882651627459,-7,7,509,824,False,True,True,0,0,509,824
5,2026-02-18 00:00:00,23h00,Caixa UA,Administração Pública,15,14,Psicologia,2,B,Excel,Excel,False,False,,608,457,1.1547005383792515,1.1547005383792515,1.0069231420593452,116.26946942424534,116.26946942424534,0.19928623210699692,-0.19928623210699686,23,-23,631,434,False,True,True,0,0,631,434
5,2026-02-18 00:00:00,23h20,Caixa UA,Economia,11,4,Música,2,A,Excel,Excel,False,False,,439,301,1.1547005383792515,1.4142135623730951,1.1064537610602057,127.76227535879671,156.47619150300628,0.21908150221771439,-0.2190815022177144,28,-34,467,267,False,True,True,0,0,467,267
5,2026-02-18 00:00:00,23h20,Caixa UA,Gestão,12,3,Eng. Física,2,B,Excel,Excel,False,False,,359,412,1.1547005383792515,1.4142135623730951,1.148698354997035,132.6402608950437,162.45047927124713,0.6196700608884902,-0.6196700608884901,82,-101,441,311,False,True,True,0,0,441,311
5,2026-02-18 00:00:00,23h40,Caixa UA,Línguas e Relações Empresariais,15,9,Gestão e Planeamento em Turismo,2,A,Excel,Excel,False,False,,677,467,1.1547005383792515,1.1547005383792515,1.0524097791489255,121.52181385788535,121.52181385788535,0.12628957905491867,-0.12628957905491864,15,-15,692,452,False,True,True,0,0,692,452
5,2026-02-18 00:00:00,23h40,Caixa UA,Eng. Computacional,20,18,"Línguas, Literaturas e Culturas",2,B,Excel,Excel,False,False,,513,366,1.1547005383792515,1.1547005383792515,1.0105917512032914,116.69308391960712,116.69308391960712,0.20523023300349974,-0.20523023300349966,24,-24,537,342,False,True,True,0,0,537,342
5,2026-02-19 00:00:00,20h00,Caixa UA,Eng. Informática,8,10,Eng. Mecânica,1,,Excel,Excel,False,False,,705,1280,1.4142135623730951,1.4142135623730951,1.0225651825635729,144.61255495919247,144.61255495919247,-0.004986878736687972,0.004986878736687905,-1,1,704,1281,False,True,True,0,0,704,1281
5,2026-02-19 00:00:00,20h20,Caixa UA,Eng. Aeroespacial,8,5,Matemática,1,,Excel,Excel,False,False,,824,889,1.4142135623730951,1.4142135623730951,1.0481223894689577,148.22688982138953,148.22688982138953,0.6453524504393824,-0.6453524504393825,96,-96,920,793,False,True,True,0,0,920,793
5,2026-02-19 00:00:00,20h40,Caixa UA,Eng. Computadores e Telemática,8,12,Eng. Eletrónica e Telecomunicações,1,,Excel,Excel,False,False,,1062,1002,1.4142135623730951,1.4142135623730951,1.0413797439924106,147.27333575346887,147.27333575346887,-0.6347433350523167,0.6347433350523168,-93,93,969,1095,False,True,True,0,0,969,1095
5,2026-02-19 00:00:00,21h00,Caixa UA,Eng. de Materiais,10,9,Biotecnologia,1,,Excel,Excel,False,False,,1392,715,1.4142135623730951,1.4142135623730951,1.0105917512032914,142.91925605740713,142.91925605740713,0.0019550151025855556,-0.0019550151025856653,0,0,1392,715,False,True,True,0,0,1392,715
5,2026-02-19 00:00:00,21h20,Caixa UA,MTC,3,9,Biologia,1,,Excel,Excel,False,False,,778,855,1.4142135623730951,1.4142135623730951,1.1161231740339044,157.8436529997654,157.8436529997654,-0.32977647301867535,0.3297764730186753,-52,52,726,907,False,True,True,0,0,726,907
5,2026-02-19 00:00:00,21h40,Caixa UA,Eng. e Gestão Industrial,9,8,Tecnologias de Informação,1,,Excel,Excel,False,False,,1058,706,1.4142135623730951,1.4142135623730951,1.011847940917809,143.09690811052556,143.09690811052556,0.03761398136224625,-0.03761398136224631,5,-5,1063,701,False,True,True,0,0,1063,701
6,2026-02-19 00:00:00,22h00,Caixa UA,Eng. Mecânica,4,2,Eng. e Gestão Industrial,1,,Excel,Excel,False,False,,1281,1063,1.1976915649387767,1.1976915649387767,1.0717734625362931,128.36540356049443,128.36540356049443,0.11838074453084346,-0.11838074453084343,15,-15,1296,1048,False,True,True,0,0,1296,1048
6,2026-02-19 00:00:00,22h20,Caixa UA,Matemática,6,16,Eng. Informática,1,,Excel,Excel,False,False,,793,704,1.1976915649387767,1.1976915649387767,1.10305425242207,132.11187737957613,132.11187737957613,-0.6941769628723695,0.6941769628723695,-92,92,701,796,False,True,True,0,0,701,796
6,2026-02-19 00:00:00,22h40,Caixa UA,Eng. Eletrónica e Telecomunicações,11,8,Eng. Aeroespacial,1,,Excel,Excel,False,False,,1095,920,1.1976915649387767,1.1976915649387767,1.0323578626791556,123.64463041290487,123.64463041290487,0.16633753081656188,-0.1663375308165619,21,-21,1116,899,False,True,True,0,0,1116,899
6,2026-02-19 00:00:00,23h00,Caixa UA,Biotecnologia,2,9,Eng. Computadores e Telemática,1,,Excel,Excel,False,False,,715,969,1.1976915649387767,1.1976915649387767,1.1623080652394242,139.20865655975678,139.20865655975678,-0.08790989184045007,0.08790989184045006,-12,12,703,981,False,True,True,0,0,703,981
6,2026-02-19 00:00:00,23h20,Caixa UA,Biologia,8,14,Eng. de Materiais,1,,Excel,Excel,False,False,,907,1392,1.1976915649387767,1.1976915649387767,1.0575570503382523,126.66271586316581,126.66271586316581,-0.011351206921614704,0.01135120692161462,-1,1,906,1393,False,True,True,0,0,906,1393
6,2026-02-19 00:00:00,23h40,Caixa UA,Tecnologias de Informação,10,8,MTC,1,,Excel,Excel,False,False,,701,726,1.1976915649387767,1.1976915649387767,1.0225651825635729,122.47176937564716,122.47176937564716,0.5573116337622928,-0.5573116337622928,68,-68,769,658,False,True,True,0,0,769,658
7,2026-03-04 00:00:00,20h00,PAH,Eng. Mecânica,14,7,Matemática,1,,Excel,Excel,False,False,,1296,701,1.1017225651702667,1.1017225651702667,1.0717734625362931,118.07970084269036,118.07970084269036,0.004151387969270504,-0.004151387969270396,0,0,1296,701,False,True,True,0,0,1296,701
7,2026-03-04 00:00:00,20h00,PAH,Física,20,6,Economia,2,A,Excel,Excel,False,False,,509,467,1.0563009905346672,1.0563009905346672,1.1279448730054993,119.14492866242084,119.14492866242084,0.40447961130157084,-0.4044796113015708,48,-48,557,419,False,True,True,0,0,557,419
6,2026-03-04 00:00:00,20h20,PAH,Eng. Civil,16,5,Biologia e Geologia,2,A,Excel,Excel,False,False,,824,583,1.0563009905346672,1.0563009905346672,1.1233497625229583,118.6595466869884,118.6595466869884,0.09799602329020163,-0.09799602329020159,12,-12,836,571,False,True,True,0,0,836,571
8,2026-03-04 00:00:00,20h20,PAH,Matemática,5,14,Eng. e Gestão Industrial,1,,Excel,Excel,False,False,,701,1048,1.0440126386761064,1.1017225651702667,1.108449222600272,115.72349977253887,122.12035208841596,-0.039316976787151195,0.03931697678715118,-5,5,696,1053,False,True,True,0,0,696,1053
6,2026-03-04 00:00:00,20h40,PAH,Música,5,16,Física,2,A,Excel,Excel,False,False,,267,557,1.1547005383792515,1.0,1.1233497625229583,129.71325755734642,112.33497625229583,-0.06470650095392179,0.06470650095392172,-8,7,259,564,False,True,True,0,0,259,564
7,2026-03-04 00:00:00,20h40,PAH,Eng. Aeroespacial,7,14,Biotecnologia,1,,Excel,Excel,False,False,,899,703,1.1017225651702667,1.1017225651702667,1.0717734625362931,118.07970084269036,118.07970084269036,-0.8587839891836662,0.8587839891836662,-101,101,798,804,False,True,True,0,0,798,804
6,2026-03-04 00:00:00,21h00,PAH,Gestão e Planeamento em Turismo,12,10,Design,2,A,Excel,Excel,False,False,,452,565,1.0563009905346672,1.1547005383792515,1.0183993761470242,107.57362697839889,117.59463079220627,0.7389982541341713,-0.7389982541341712,79,-87,531,478,False,True,True,0,0,531,478
7,2026-03-04 00:00:00,21h00,PAH,Eng. Computadores e Telemática,14,8,Biologia,1,,Excel,Excel,False,False,,981,906,1.1017225651702667,1.1017225651702667,1.0575570503382523,116.51344663125602,116.51344663125602,0.33386057541687786,-0.3338605754168779,39,-39,1020,867,False,True,True,0,0,1020,867
6,2026-03-04 00:00:00,21h20,PAH,"Línguas, Literaturas e Culturas",6,17,Eng. Biomédica,2,B,Excel,Excel,False,False,,342,594,1.0563009905346672,1.1547005383792515,1.1097617886603237,117.2242476619424,128.14425348387968,-0.0893981493760276,0.08939814937602752,-10,11,332,605,False,True,True,0,0,332,605
7,2026-03-04 00:00:00,21h20,PAH,Eng. de Materiais,10,4,Tecnologias de Informação,1,,Excel,Excel,False,False,,1393,769,1.1017225651702667,1.1017225651702667,1.0959582263852172,120.74419084925773,120.74419084925773,0.0031813843465272607,-0.003181384346527195,0,0,1393,769,False,True,True,0,0,1393,769
7,2026-03-04 00:00:00,21h40,PAH,Eng. Biomédica,15,9,Eng. Mecânica B,2,B,Excel,Excel,False,False,,605,243,1.0563009905346672,1.0563009905346672,1.0524097791489255,111.16614921633804,111.16614921633804,0.03441827020027832,-0.034418270200278434,4,-4,609,239,False,True,True,0,0,609,239
8,2026-03-04 00:00:00,21h40,PAH,Tecnologias de Informação,4,15,Eng. Computadores e Telemática,1,,Excel,Excel,False,False,,769,1020,1.0440126386761064,1.0440126386761064,1.141308697219414,119.15407045280297,119.15407045280297,-0.09015076837319749,0.09015076837319747,-11,11,758,1031,False,True,True,0,0,758,1031
6,2026-03-04 00:00:00,22h00,PAH,Eng. Mecânica B,6,10,Eng. Computacional,2,B,Excel,Excel,False,False,,239,537,1.0,1.0563009905346672,1.0524097791489255,105.24097791489255,111.16614921633804,-0.060387726708478376,0.06038772670847825,-6,7,233,544,False,True,True,0,0,233,544
7,2026-03-04 00:00:00,22h00,PAH,Eng. Informática,6,12,Eng. Eletrónica e Telecomunicações,1,,Excel,Excel,False,False,,796,1116,1.1017225651702667,1.1017225651702667,1.0717734625362931,118.07970084269036,118.07970084269036,-0.0498638537789762,0.049863853778976175,-6,6,790,1122,False,True,True,0,0,790,1122
6,2026-03-04 00:00:00,22h20,PAH,Psicologia,9,12,Ciências do Mar,2,B,Excel,Excel,False,False,,434,400,1.0563009905346672,1.0563009905346672,1.0291860089647606,108.71302007138976,108.71302007138976,-0.5776543372747318,0.5776543372747318,-63,63,371,463,False,True,True,0,0,371,463
8,2026-03-04 00:00:00,22h20,PAH,Eng. Eletrónica e Telecomunicações,6,9,Eng. Mecânica,1,,Excel,Excel,False,False,,1122,1296,1.0440126386761064,1.0440126386761064,1.0413797439924106,108.72136143893647,108.72136143893647,-0.16761865080143276,0.16761865080143268,-18,18,1104,1314,False,True,True,0,0,1104,1314
