Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisao,Grupo,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2024-11-13 00:00:00,21h00,PAH,Eng. Física,10,3,Biologia e Geologia,2.0,A,500,500,2.0,2.0,1.1279448730054993,225.58897460109986,225.58897460109986,0.5,-0.5,113,-113,613,387,False,0,0,613,387
1,2024-11-13 00:00:00,21h00,PAH,Eng. Biomédica,9,11,TI,2.0,A,500,500,2.0,2.0,1.0202697667623288,204.05395335246575,204.05395335246575,-0.5,0.5,-102,102,398,602,False,0,0,398,602
1,2024-11-13 00:00:00,21h20,PAH,Finanças,3,2,Gestao,2.0,A,500,500,2.0,2.0,1.0413797439924106,208.27594879848212,208.27594879848212,0.5,-0.5,104,-104,604,396,False,0,0,604,396
1,2024-11-13 00:00:00,21h20,PAH,Matemática,9,4,GPT,2.0,A,500,500,2.0,2.0,1.0844717711976986,216.89435423953972,216.89435423953972,0.5,-0.5,108,-108,608,392,False,0,0,608,392
2,2024-11-13 00:00:00,21h40,PAH,Biologia e Geologia,5,6,Eng. Biomédica,2.0,A,387,398,1.3710190645764506,1.3710190645764506,1.0183993761470242,139.62449600503342,139.62449600503342,-0.47469320701954143,0.47469320701954143,-66,66,321,464,False,0,0,321,464
1,2024-11-13 00:00:00,21h40,PAH,Eng. Química,7,3,DPT,2.0,A,500,500,2.0,2.0,1.0884229198901703,217.68458397803406,217.68458397803406,0.5,-0.5,109,-109,609,391,False,0,0,609,391
2,2024-11-13 00:00:00,22h00,PAH,TI,12,9,Matemática,2.0,A,602,608,1.3710190645764506,1.3710190645764506,1.0291860089647606,141.10336392860367,141.10336392860367,0.513811995706751,-0.513811995706751,73,-73,675,535,False,0,0,675,535
2,2024-11-13 00:00:00,22h00,PAH,DPT,3,7,Eng. Física,2.0,A,391,613,1.3710190645764506,1.3710190645764506,1.0884229198901703,149.22485734913903,149.22485734913903,-0.11458946343928747,0.11458946343928744,-17,17,374,630,False,0,0,374,630
2,2024-11-13 00:00:00,22h20,PAH,Gestao,11,16,Eng. Química,2.0,A,396,609,1.3710190645764506,1.3710190645764506,1.0381801711228769,142.33648070747063,142.33648070747063,-0.12327210816502111,0.1232721081650211,-18,18,378,627,False,0,0,378,627
2,2024-11-13 00:00:00,22h20,PAH,GPT,5,4,Finanças,2.0,A,392,604,1.3710190645764506,1.3710190645764506,1.0225651825635729,140.19563600667573,140.19563600667573,0.8757290153768148,-0.8757290153768147,123,-123,515,481,False,0,0,515,481
1,2024-11-13 00:00:00,22h40,PAH,AP,5,9,Eng. Informática,2.0,B,500,500,2.0,2.0,1.0605404816140187,212.10809632280373,212.10809632280373,-0.5,0.5,-106,106,394,606,False,0,0,394,606
1,2024-11-13 00:00:00,22h40,PAH,LRE,14,3,Eng. Civil,2.0,B,500,500,2.0,2.0,1.1665428015545503,233.30856031091005,233.30856031091005,0.5,-0.5,117,-117,617,383,False,0,0,617,383
1,2024-11-13 00:00:00,23h00,PAH,Biotecnologia,12,8,Design,2.0,B,500,500,2.0,2.0,1.0413797439924106,208.27594879848212,208.27594879848212,0.5,-0.5,104,-104,604,396,False,0,0,604,396
1,2024-11-13 00:00:00,23h00,PAH,Bioquímica,12,17,Psicologia,2.0,B,500,500,2.0,2.0,1.03544436156698,207.088872313396,207.088872313396,-0.5,0.5,-104,104,396,604,False,0,0,396,604
1,2024-11-13 00:00:00,23h20,PAH,Educaçao Básica,2,11,Eng. Compotacional,2.0,B,500,500,2.0,2.0,1.185867778627801,237.1735557255602,237.1735557255602,-0.5,0.5,-119,119,381,619,False,0,0,381,619
2,2024-11-13 00:00:00,23h20,PAH,Eng. Civil,6,13,AP,2.0,B,383,394,1.3710190645764506,1.3710190645764506,1.0803866526987886,148.1230697963976,148.1230697963976,-0.47469320701954143,0.47469320701954143,-70,70,313,464,False,0,0,313,464
2,2024-11-13 00:00:00,23h40,PAH,Eng. Compotacional,9,14,LRE,2.0,B,619,617,1.3710190645764506,1.3710190645764506,1.0451738918191427,143.29533314816095,143.29533314816095,-0.5046050399709767,0.5046050399709766,-72,72,547,689,False,0,0,547,689
2,2024-11-13 00:00:00,23h40,PAH,Eng. Informática,9,5,Biotecnologia,2.0,B,606,604,1.3710190645764506,1.3710190645764506,1.0605404816140187,145.40212190479104,145.40212190479104,0.4953949600290233,-0.4953949600290234,72,-72,678,532,False,0,0,678,532
2,2024-11-13 00:00:00,0h00,PAH,Design,14,6,Bioquímica,2.0,B,396,396,1.3710190645764506,1.3710190645764506,1.0884229198901703,149.22485734913903,149.22485734913903,0.5,-0.5,75,-75,471,321,False,0,0,471,321
2,2024-11-13 00:00:00,0h00,PAH,Psicologia,21,2,Educaçao Básica,2.0,B,604,381,1.3710190645764506,1.3710190645764506,1.2650827381797884,173.44525523110684,173.44525523110684,0.11365830607971272,-0.11365830607971271,20,-20,624,361,False,0,0,624,361
3,2024-12-04 00:00:00,18h40,PAH,Biotecnologia,6,10,Eng. Civil,2.0,B,532,313,1.0,1.0,1.0524097791489255,105.24097791489255,105.24097791489255,-0.8825771351352818,0.8825771351352818,-93,93,439,406,False,0,0,439,406
3,2024-12-04 00:00:00,18h40,PAH,AP,3,20,LRE,2.0,B,464,689,1.0,1.0,1.2089013820911636,120.89013820911636,120.89013820911636,-0.11181576977811694,0.11181576977811691,-14,14,450,703,False,0,0,450,703
3,2024-12-04 00:00:00,19h00,PAH,Educaçao Básica,3,18,Design,2.0,B,361,471,1.0,1.0,1.1962311988513155,119.62311988513154,119.62311988513154,-0.2663662975861926,0.26636629758619257,-32,32,329,503,False,0,0,329,503
3,2024-12-04 00:00:00,19h00,PAH,Bioquímica,4,8,Eng. Informática,2.0,B,321,678,1.0,1.0,1.0717734625362931,107.17734625362931,107.17734625362931,-0.03598198752733396,0.03598198752733406,-4,4,317,682,False,0,0,317,682
4,2024-12-04 00:00:00,19h20,PAH,Eng. Civil,12,6,Bioquímica,2.0,B,406,317,1.0,1.0,1.0717734625362931,107.17734625362931,107.17734625362931,0.3058230371276305,-0.3058230371276305,33,-33,439,284,False,0,0,439,284
3,2024-12-04 00:00:00,19h20,PAH,Eng. Compotacional,8,16,Psicologia,2.0,B,547,624,1.0,1.0,1.0717734625362931,107.17734625362931,107.17734625362931,-0.32977647301867535,0.3297764730186753,-35,35,512,659,False,0,0,512,659
4,2024-12-04 00:00:00,19h40,PAH,AP,6,15,Eng. Compotacional,2.0,B,450,512,1.0,1.0,1.0959582263852172,109.59582263852172,109.59582263852172,-0.36099663047456637,0.3609966304745663,-40,40,410,552,False,0,0,410,552
4,2024-12-04 00:00:00,19h40,PAH,LRE,6,8,Biotecnologia,2.0,B,703,439,1.0,1.0,1.0291860089647606,102.91860089647606,102.91860089647606,-0.9192002300325278,0.9192002300325279,-95,95,608,534,False,0,0,608,534
4,2024-12-04 00:00:00,20h00,PAH,Eng. Informática,14,1,Educaçao Básica,2.0,B,682,329,1.0,1.0,1.3020054543174677,130.20054543174678,130.20054543174678,0.03728199089303896,-0.03728199089303898,5,-5,687,324,False,0,0,687,324
4,2024-12-04 00:00:00,20h00,PAH,Design,11,9,Psicologia,2.0,B,503,659,1.0,1.0,1.0202697667623288,102.02697667623288,102.02697667623288,0.807960656227145,-0.8079606562271449,82,-82,585,577,False,0,0,585,577
3,2024-12-04 00:00:00,20h20,PAH,Matemática,7,3,Biologia e Geologia,2.0,A,535,321,1.0,1.0,1.0884229198901703,108.84229198901703,108.84229198901703,0.12228013947680871,-0.12228013947680864,13,-13,548,308,False,0,0,548,308
3,2024-12-04 00:00:00,20h20,PAH,Eng. Biomédica,9,6,Eng. Física,2.0,A,464,630,1.0,1.0,1.0413797439924106,104.13797439924106,104.13797439924106,0.8218477301760605,-0.8218477301760605,86,-86,550,544,False,0,0,550,544
3,2024-12-04 00:00:00,20h40,PAH,Finanças,3,13,TI,2.0,A,481,675,1.0,1.0,1.1579297436409763,115.79297436409763,115.79297436409763,-0.14346475985469692,0.14346475985469687,-17,17,464,692,False,0,0,464,692
3,2024-12-04 00:00:00,20h40,PAH,Eng. Química,5,9,GPT,2.0,A,627,515,1.0,1.0,1.0605404816140187,106.05404816140187,106.05404816140187,-0.7372178586884377,0.7372178586884377,-78,78,549,593,False,0,0,549,593
3,2024-12-04 00:00:00,21h00,PAH,DPT,9,10,Gestao,2.0,A,374,378,1.0,1.0,1.0105917512032914,101.05917512032914,101.05917512032914,-0.4907907012420864,0.49079070124208646,-50,50,324,428,False,0,0,324,428
4,2024-12-04 00:00:00,21h00,PAH,Biologia e Geologia,2,6,Finanças,2.0,A,308,464,1.0,1.0,1.1161231740339044,111.61231740339043,111.61231740339043,-0.19203934377285506,0.19203934377285514,-21,21,287,485,False,0,0,287,485
4,2024-12-04 00:00:00,21h20,PAH,Eng. Biomédica,6,8,DPT,2.0,A,550,324,1.0,1.0,1.0291860089647606,102.91860089647606,102.91860089647606,-0.889095671658805,0.889095671658805,-92,92,458,416,False,0,0,458,416
4,2024-12-04 00:00:00,21h20,PAH,Eng. Física,4,10,Matemática,2.0,A,544,548,1.0,1.0,1.0959582263852172,109.59582263852172,109.59582263852172,-0.4907907012420864,0.49079070124208646,-54,54,490,602,False,0,0,490,602
4,2024-12-04 00:00:00,21h40,PAH,GPT,13,11,Gestao,2.0,A,593,428,1.0,1.0,1.0168457240564814,101.68457240564814,101.68457240564814,0.179504792713577,-0.17950479271357694,18,-18,611,410,False,0,0,611,410
4,2024-12-04 00:00:00,21h40,PAH,TI,18,7,Eng. Química,2.0,A,692,549,1.0,1.0,1.0990499896602912,109.90499896602913,109.90499896602913,0.21130473672903716,-0.21130473672903713,23,-23,715,526,False,0,0,715,526
3,2024-12-04 00:00:00,22h00,PAH,EET,14,11,MTC,1.0,,970,1172,1.0,1.0,1.0244093531614127,102.44093531614126,102.44093531614126,0.8653539062672898,-0.8653539062672898,89,-89,1059,1083,False,0,0,1059,1083
3,2024-12-04 00:00:00,22h00,PAH,Biologia,10,13,EGI,1.0,,879,827,1.0,1.0,1.026583631304232,102.6583631304232,102.6583631304232,-0.6174969965811122,0.6174969965811122,-63,63,816,890,False,0,0,816,890
3,2024-12-04 00:00:00,22h20,PAH,Economia,7,9,Fisioterapia,1.0,,878,978,1.0,1.0,1.0254498997012387,102.54498997012386,102.54498997012386,-0.2847472489508014,0.2847472489508013,-29,29,849,1007,False,0,0,849,1007
3,2024-12-04 00:00:00,22h20,PAH,Eng. Aeroespacial,10,11,Eng. Mecânica,1.0,,1017,1120,1.0,1.0,1.009576582776887,100.9576582776887,100.9576582776887,-0.2791533687626555,0.2791533687626555,-28,28,989,1148,False,0,0,989,1148
4,2024-12-04 00:00:00,22h40,PAH,EGI,13,16,Eng. Aeroespacial,1.0,,890,989,1.0,1.0,1.0209810068151601,102.09810068151602,102.09810068151602,-0.2866267974788699,0.2866267974788699,-29,29,861,1018,False,0,0,861,1018
3,2024-12-04 00:00:00,22h40,PAH,ECT,8,14,Eng. Materiais,1.0,,1033,1126,1.0,1.0,1.0575570503382523,105.75570503382524,105.75570503382524,-0.298058214763022,0.29805821476302197,-32,32,1001,1158,False,0,0,1001,1158
4,2024-12-04 00:00:00,23h00,PAH,EET,21,7,ECT,1.0,,1059,1001,1.0,1.0,1.1161231740339044,111.61231740339043,111.61231740339043,0.36953789879560306,-0.36953789879560306,41,-41,1100,960,False,0,0,1100,960
4,2024-12-04 00:00:00,23h00,PAH,MTC,9,12,Biologia,1.0,,1083,816,1.0,1.0,1.0291860089647606,102.91860089647606,102.91860089647606,-0.9212287924615202,0.9212287924615202,-95,95,988,911,False,0,0,988,911
4,2024-12-04 00:00:00,23h20,PAH,Fisioterapia,11,22,Eng. Materiais,1.0,,1007,1158,1.0,1.0,1.0717734625362931,107.17734625362931,107.17734625362931,-0.19928623210699686,0.19928623210699692,-21,21,986,1179,False,0,0,986,1179
4,2024-12-04 00:00:00,23h20,PAH,Eng. Mecânica,21,6,Economia,1.0,,1148,849,1.0,1.0,1.1334615816706974,113.34615816706975,113.34615816706975,0.05986723347799783,-0.05986723347799784,7,-7,1155,842,False,0,0,1155,842
5,2025-02-24 00:00:00,20h20,Caixa UA,Eng. Aeroespacial,11,14,MTC,1.0,,1018,988,1.4142135623730951,1.4142135623730951,1.0244093531614127,144.87336006627194,144.87336006627194,-0.5686413918836677,0.5686413918836677,-82,82,936,1070,False,0,0,936,1070
5,2025-02-24 00:00:00,20h20,Caixa UA,Economia,10,4,EGI,1.0,,842,861,1.4142135623730951,1.4142135623730951,1.0959582263852172,154.9918987548337,154.9918987548337,0.5436378107317177,-0.5436378107317176,84,-84,926,777,False,0,0,926,777
5,2025-02-24 00:00:00,20h40,Caixa UA,Eng. Materiais,6,11,Eng. Mecânica,1.0,,1179,1155,1.4142135623730951,1.4142135623730951,1.0624882685141506,150.25853191950185,150.25853191950185,-0.5550381171426981,0.5550381171426981,-83,83,1096,1238,False,0,0,1096,1238
5,2025-02-24 00:00:00,20h40,Caixa UA,Biologia,8,9,EET,1.0,,911,1100,1.4142135623730951,1.4142135623730951,1.011847940917809,143.09690811052556,143.09690811052556,-0.14921714590912669,0.1492171459091266,-21,21,890,1121,False,0,0,890,1121
6,2025-02-24 00:00:00,21h00,Caixa UA,EGI,10,12,Eng. Materiais,1.0,,777,1096,1.1709052329614258,1.1709052329614258,1.0183993761470242,119.24491587752021,119.24491587752021,-0.05030202975755316,0.050302029757553046,-6,6,771,1102,False,0,0,771,1102
5,2025-02-24 00:00:00,21h00,Caixa UA,ECT,10,3,Fisioterapia,1.0,,960,986,1.4142135623730951,1.4142135623730951,1.1279448730054993,159.51549370135754,159.51549370135754,0.5595827514697412,-0.5595827514697413,89,-89,1049,897,False,0,0,1049,897
6,2025-02-24 00:00:00,21h20,Caixa UA,EET,10,4,Eng. Aeroespacial,1.0,,1121,936,1.1709052329614258,1.1709052329614258,1.0959582263852172,128.3263222381574,128.3263222381574,0.1539548995679052,-0.15395489956790523,20,-20,1141,916,False,0,0,1141,916
6,2025-02-24 00:00:00,21h20,Caixa UA,MTC,3,6,Economia,1.0,,1070,926,1.1709052329614258,1.1709052329614258,1.0717734625362931,125.49451558329322,125.49451558329322,-0.790226131587058,0.7902261315870581,-99,99,971,1025,False,0,0,971,1025
6,2025-02-24 00:00:00,21h40,Caixa UA,Eng. Mecânica,14,6,Fisioterapia,1.0,,1238,897,1.1709052329614258,1.1709052329614258,1.0884229198901703,127.4440092574555,127.4440092574555,0.041458256182546505,-0.04145825618254646,5,-5,1243,892,False,0,0,1243,892
6,2025-02-24 00:00:00,21h40,Caixa UA,Biologia,14,13,ECT,1.0,,890,1049,1.1709052329614258,1.1709052329614258,1.0074383251323098,117.96148067833158,117.96148067833158,0.8122114503474263,-0.8122114503474263,96,-96,986,953,False,0,0,986,953
5,2025-02-24 00:00:00,22h00,Caixa UA,Eng. Química,17,3,Biologia e Geologia,2.0,A,526,287,1.4142135623730951,1.4142135623730951,1.1894132348229451,168.2084327952664,168.2084327952664,0.09963637965067962,-0.09963637965067959,17,-17,543,270,False,0,0,543,270
5,2025-02-24 00:00:00,22h00,Caixa UA,Finanças,7,8,Eng. Física,2.0,A,485,490,1.4142135623730951,1.4142135623730951,1.0134426905796656,143.32243977056433,143.32243977056433,-0.4884891087822083,0.4884891087822083,-70,70,415,560,False,0,0,415,560
5,2025-02-24 00:00:00,22h20,Caixa UA,Matemática,9,8,Eng. Biomédica,2.0,A,602,458,1.4142135623730951,1.4142135623730951,1.011847940917809,143.09690811052556,143.09690811052556,0.209773868412942,-0.2097738684129419,30,-30,632,428,False,0,0,632,428
5,2025-02-24 00:00:00,22h20,Caixa UA,Gestao,10,19,TI,2.0,A,410,715,1.4142135623730951,1.4142135623730951,1.0662900584785258,150.7961862123932,150.7961862123932,-0.05683152084009725,0.05683152084009724,-9,9,401,724,False,0,0,401,724
5,2025-02-24 00:00:00,22h40,Caixa UA,DPT,4,11,GPT,2.0,A,416,611,1.4142135623730951,1.4142135623730951,1.1064537610602057,156.47619150300628,156.47619150300628,-0.1423366814461431,0.1423366814461431,-22,22,394,633,False,0,0,394,633
6,2025-02-24 00:00:00,22h40,Caixa UA,Biologia e Geologia,11,10,Gestao,2.0,A,270,401,1.1709052329614258,1.1709052329614258,1.009576582776887,118.21185038487711,118.21185038487711,0.769688755555601,-0.769688755555601,91,-91,361,310,False,0,0,361,310
6,2025-02-24 00:00:00,23h00,Caixa UA,Eng. Biomédica,12,11,Finanças,2.0,A,428,415,1.1709052329614258,1.1709052329614258,1.0087391026304013,118.11378939627497,118.11378939627497,0.4701021041073924,-0.47010210410739234,56,-56,484,359,False,0,0,484,359
6,2025-02-24 00:00:00,23h00,Caixa UA,Eng. Física,4,6,Eng. Química,2.0,A,560,543,1.1709052329614258,1.1709052329614258,1.0413797439924106,121.93569917407434,121.93569917407434,-0.5390641711450747,0.5390641711450745,-66,66,494,609,False,0,0,494,609
6,2025-02-24 00:00:00,23h20,Caixa UA,TI,10,6,GPT,2.0,A,724,633,1.1709052329614258,1.1709052329614258,1.0524097791489255,123.22721176252553,123.22721176252553,0.30192646078852325,-0.3019264607885232,37,-37,761,596,False,0,0,761,596
6,2025-02-24 00:00:00,23h20,Caixa UA,Matemática,6,4,DPT,2.0,A,632,394,1.1709052329614258,1.1709052329614258,1.0413797439924106,121.93569917407434,121.93569917407434,0.10046568199024475,-0.10046568199024475,12,-12,644,382,False,0,0,644,382
5,2025-02-25 00:00:00,21h20,Caixa UA,Educaçao Básica,4,8,Eng. Civil,2.0,B,324,439,1.4142135623730951,1.4142135623730951,1.0717734625362931,151.5716566510398,151.5716566510398,-0.25746444105693017,0.2574644410569302,-39,39,285,478,False,0,0,285,478
5,2025-02-25 00:00:00,21h20,Caixa UA,Bioquímica,4,16,LRE,2.0,B,284,608,1.4142135623730951,1.4142135623730951,1.148698354997035,162.45047927124713,162.45047927124713,-0.0481470687239387,0.0481470687239387,-8,8,276,616,False,0,0,276,616
5,2025-02-25 00:00:00,21h40,Caixa UA,Biotecnologia,12,8,AP,2.0,B,534,410,1.4142135623730951,1.4142135623730951,1.0413797439924106,147.27333575346887,147.27333575346887,0.24193827059114958,-0.24193827059114958,36,-36,570,374,False,0,0,570,374
5,2025-02-25 00:00:00,21h40,Caixa UA,Psicologia,16,11,Eng. Informática,2.0,B,577,687,1.4142135623730951,1.4142135623730951,1.0381801711228769,146.82084781887932,146.82084781887932,0.7336337024138073,-0.7336337024138074,108,-108,685,579,False,0,0,685,579
5,2025-02-25 00:00:00,22h00,Caixa UA,Eng. Compotacional,8,7,Design,2.0,B,552,585,1.4142135623730951,1.4142135623730951,1.0134426905796656,143.32243977056433,143.32243977056433,0.5754056999594935,-0.5754056999594935,82,-82,634,503,False,0,0,634,503
6,2025-02-25 00:00:00,22h00,Caixa UA,Eng. Civil,16,12,Psicologia,2.0,B,478,685,1.1709052329614258,1.1709052329614258,1.0291860089647606,120.50792835875231,120.50792835875231,0.8706299870934034,-0.8706299870934036,105,-105,583,580,False,0,0,583,580
6,2025-02-25 00:00:00,22h20,Caixa UA,LRE,9,3,Educaçao Básica,2.0,B,616,285,1.1709052329614258,1.1709052329614258,1.1161231740339044,130.68744651058148,130.68744651058148,0.04527697430779387,-0.04527697430779393,6,-6,622,279,False,0,0,622,279
6,2025-02-25 00:00:00,22h20,Caixa UA,AP,13,8,Bioquímica,2.0,B,374,276,1.1709052329614258,1.1709052329614258,1.0497486783613876,122.91562207876895,122.91562207876895,0.2885137480285873,-0.2885137480285873,35,-35,409,241,False,0,0,409,241
6,2025-02-25 00:00:00,22h40,Caixa UA,Biotecnologia,9,6,Eng. Compotacional,2.0,B,570,634,1.1709052329614258,1.1709052329614258,1.0413797439924106,121.93569917407434,121.93569917407434,0.6432416443809801,-0.6432416443809801,78,-78,648,556,False,0,0,648,556
6,2025-02-25 00:00:00,22h40,Caixa UA,Eng. Informática,14,4,Design,2.0,B,579,503,1.1709052329614258,1.1709052329614258,1.1334615816706974,132.71760973389542,132.71760973389542,0.3318153610257015,-0.3318153610257015,44,-44,623,459,False,0,0,623,459
7,2025-03-19 00:00:00,19h00,PAH,Design,19,11,Eng. Civil,2.0,B,459,583,1.0730485939541088,1.0730485939541088,1.0561755063153762,113.33276420204832,113.33276420204832,0.7580617294088504,-0.7580617294088504,86,-86,545,497,False,0,0,545,497
7,2025-03-19 00:00:00,19h00,PAH,Psicologia,5,14,LRE,2.0,B,580,622,1.0730485939541088,1.0730485939541088,1.108449222600272,118.94198797807468,118.94198797807468,-0.4044796113015708,0.40447961130157084,-48,48,532,670,False,0,0,532,670
7,2025-03-19 00:00:00,19h20,PAH,Bioquímica,7,10,Biotecnologia,2.0,B,241,648,1.0730485939541088,1.0730485939541088,1.0363112099103142,111.20122866931439,111.20122866931439,-0.023008628302878857,0.023008628302878753,-3,3,238,651,False,0,0,238,651
7,2025-03-19 00:00:00,19h20,PAH,Educaçao Básica,1,8,AP,2.0,B,279,409,1.0730485939541088,1.0730485939541088,1.2311444133449163,132.10777816942186,132.10777816942186,-0.23194799683241596,0.23194799683241607,-31,31,248,440,False,0,0,248,440
8,2025-03-19 00:00:00,19h40,PAH,LRE,19,15,Design,2.0,B,670,545,1.0,1.0,1.0239204907045867,102.39204907045867,102.39204907045867,0.24025307335204216,-0.2402530733520421,25,-25,695,520,False,0,0,695,520
7,2025-03-19 00:00:00,19h40,PAH,Eng. Compotacional,7,16,Eng. Informática,2.0,B,556,623,1.0730485939541088,1.0730485939541088,1.0861809815646652,116.55249750476577,116.55249750476577,-0.3504429359725488,0.35044293597254883,-41,41,515,664,False,0,0,515,664
8,2025-03-19 00:00:00,20h00,PAH,AP,9,10,Psicologia,2.0,B,440,532,1.0,1.0,1.0105917512032914,101.05917512032914,101.05917512032914,-0.2999887748147414,0.2999887748147414,-30,30,410,562,False,0,0,410,562
8,2025-03-19 00:00:00,20h00,PAH,Eng. Civil,13,19,Eng. Informática,2.0,B,497,664,1.0,1.0,1.0386782196437794,103.86782196437794,103.86782196437794,-0.17680774181895734,0.17680774181895742,-18,18,479,682,False,0,0,479,682
8,2025-03-19 00:00:00,20h20,PAH,Biotecnologia,20,1,Educaçao Básica,2.0,B,651,248,1.0,1.0,1.3492828476735634,134.92828476735633,134.92828476735633,0.023851510433723244,-0.023851510433723133,3,-3,654,245,False,0,0,654,245
8,2025-03-19 00:00:00,20h20,PAH,Bioquímica,10,12,Eng. Compotacional,2.0,B,238,515,1.0,1.0,1.0183993761470242,101.83993761470242,101.83993761470242,-0.07234159560288331,0.07234159560288334,-7,7,231,522,False,0,0,231,522
7,2025-03-19 00:00:00,20h40,PAH,GPT,6,7,Biologia e Geologia,2.0,A,596,361,1.0730485939541088,1.0730485939541088,1.0155344930023524,108.97178598280729,108.97178598280729,-0.8970095263772729,0.897009526377273,-98,98,498,459,False,0,0,498,459
7,2025-03-19 00:00:00,20h40,PAH,Gestao,9,12,Eng. Física,2.0,A,310,494,1.0730485939541088,1.0730485939541088,1.0291860089647606,110.43665998368772,110.43665998368772,-0.15515839936263176,0.15515839936263176,-17,17,293,511,False,0,0,293,511
7,2025-03-19 00:00:00,21h00,PAH,Eng. Química,10,9,Eng. Biomédica,2.0,A,609,484,1.0730485939541088,1.0730485939541088,1.0105917512032914,108.44140576903122,108.44140576903122,0.24025307335204216,-0.2402530733520421,26,-26,635,458,False,0,0,635,458
7,2025-03-19 00:00:00,21h00,PAH,Finanças,6,13,Matemática,2.0,A,359,644,1.0730485939541088,1.0730485939541088,1.0803866526987886,115.93073786052211,115.93073786052211,-0.06755002899657621,0.06755002899657614,-8,8,351,652,False,0,0,351,652
7,2025-03-19 00:00:00,21h20,PAH,DPT,5,8,TI,2.0,A,382,761,1.0730485939541088,1.0730485939541088,1.0481223894689577,112.46862563114858,112.46862563114858,-0.029577459975623575,0.029577459975623555,-3,3,379,764,False,0,0,379,764
8,2025-03-19 00:00:00,21h20,PAH,Eng. Física,10,8,GPT,2.0,A,511,498,1.0,1.0,1.0225651825635729,102.25651825635728,102.25651825635728,0.4701021041073924,-0.47010210410739234,48,-48,559,450,False,0,0,559,450
8,2025-03-19 00:00:00,21h40,PAH,Biologia e Geologia,5,9,TI,2.0,A,459,764,1.0,1.0,1.0605404816140187,106.05404816140187,106.05404816140187,-0.05683152084009725,0.05683152084009724,-6,6,453,770,False,0,0,453,770
8,2025-03-19 00:00:00,21h40,PAH,Eng. Biomédica,18,8,Gestao,2.0,A,458,293,1.0,1.0,1.0844717711976986,108.44717711976986,108.44717711976986,0.179504792713577,-0.17950479271357694,19,-19,477,274,False,0,0,477,274
