Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisão,Grupo,Falta de Comparência
2,,,,Geologia,,,Eng. Materiais,2,A,
3,,,,Administração Pública,,,Economia,1,,
3,,,,Contabilidade,,,Eng. Biomédica,1,,
3,,,,ECT,,,EET,1,,
3,,,,EGI,,,Eng. Mecânica,1,,
3,,,,Fisioterapia,,,Finanças,1,,
3,,,,GPT,,,Biotecnologia,1,,
3,,,,Eng. Computacional,,,Tecnologias de Informação,2,A,
3,,,,Eng. Informática,,,Geologia,2,A,
3,,,,Eng. Materiais,,,Biologia,2,A,
3,,,,Eng. Mecânica B,,,Eng. Física,2,A,
3,,,,Biologia e Geologia,,,MTC,2,B,
3,,,,Eng. Civil,,,Música,2,B,
3,,,,Eng. Química,,,Matemática,2,B,
3,,,,Gestão,,,Marketing,2,B,
4,,,,Biotecnologia,,,Administração Pública,1,,
4,,,,EET,,,GPT,1,,
4,,,,Economia,,,Contabilidade,1,,
4,,,,Eng. Biomédica,,,EGI,1,,
4,,,,Eng. Mecânica,,,Fisioterapia,1,,
4,,,,Finanças,,,ECT,1,,
4,,,,Biologia,,,Eng. Informática,2,A,
4,,,,Eng. Física,,,Tecnologias de Informação,2,A,
4,,,,Eng. Materiais,,,Eng. Computacional,2,A,
4,,,,Geologia,,,Eng. Mecânica B,2,A,
4,,,,MTC,,,CBM,2,B,
4,,,,Marketing,,,Eng. Química,2,B,
4,,,,Matemática,,,Eng. Civil,2,B,
4,,,,Música,,,Biologia e Geologia,2,B,
5,,,,Administração Pública,,,EET,1,,
5,,,,Contabilidade,,,EGI,1,,
5,,,,ECT,,,Eng. Mecânica,1,,
5,,,,Economia,,,Biotecnologia,1,,
5,,,,Fisioterapia,,,Eng. Biomédica,1,,
5,,,,GPT,,,Finanças,1,,
5,,,,Eng. Computacional,,,Eng. Física,2,A,
5,,,,Eng. Informática,,,Eng. Materiais,2,A,
5,,,,Eng. Mecânica B,,,Biologia,2,A,
5,,,,Tecnologias de Informação,,,Geologia,2,A,
5,,,,Biologia e Geologia,,,Matemática,2,B,
5,,,,CBM,,,Música,2,B,
5,,,,Eng. Civil,,,Marketing,2,B,
5,,,,Eng. Química,,,Gestão,2,B,
6,,,,Biotecnologia,,,Contabilidade,1,,
6,,,,EET,,,Economia,1,,
6,,,,EGI,,,Fisioterapia,1,,
6,,,,Eng. Biomédica,,,ECT,1,,
6,,,,Eng. Mecânica,,,GPT,1,,
6,,,,Finanças,,,Administração Pública,1,,
6,,,,Biologia,,,Tecnologias de Informação,2,A,
6,,,,Eng. Informática,,,Eng. Computacional,2,A,
6,,,,Eng. Materiais,,,Eng. Mecânica B,2,A,
6,,,,Geologia,,,Eng. Física,2,A,
6,,,,Gestão,,,Eng. Civil,2,B,
6,,,,Marketing,,,Biologia e Geologia,2,B,
6,,,,Matemática,,,CBM,2,B,
6,,,,Música,,,MTC,2,B,
7,,,,Administração Pública,,,Eng. Mecânica,1,,
7,,,,Biotecnologia,,,EET,1,,
7,,,,Contabilidade,,,Fisioterapia,1,,
7,,,,ECT,,,EGI,1,,
7,,,,Economia,,,Finanças,1,,
7,,,,GPT,,,Eng. Biomédica,1,,
7,,,,Eng. Computacional,,,Geologia,2,A,
7,,,,Eng. Física,,,Biologia,2,A,
7,,,,Eng. Mecânica B,,,Eng. Informática,2,A,
7,,,,Tecnologias de Informação,,,Eng. Materiais,2,A,
7,,,,Biologia e Geologia,,,Gestão,2,B,
7,,,,CBM,,,Marketing,2,B,
7,,,,Eng. Civil,,,Eng. Química,2,B,
7,,,,MTC,,,Matemática,2,B,
8,,,,EET,,,Contabilidade,1,,
8,,,,EGI,,,GPT,1,,
8,,,,Eng. Biomédica,,,Administração Pública,1,,
8,,,,Eng. Mecânica,,,Economia,1,,
8,,,,Finanças,,,Biotecnologia,1,,
8,,,,Fisioterapia,,,ECT,1,,
8,,,,Eng. Química,,,Biologia e Geologia,2,B,
8,,,,Gestão,,,CBM,2,B,
8,,,,Marketing,,,MTC,2,B,
8,,,,Matemática,,,Música,2,B,
9,,,,Administração Pública,,,EGI,1,,
9,,,,Biotecnologia,,,Eng. Mecânica,1,,
9,,,,Contabilidade,,,ECT,1,,
9,,,,EET,,,Finanças,1,,
9,,,,Economia,,,Eng. Biomédica,1,,
9,,,,GPT,,,Fisioterapia,1,,
9,,,,Biologia e Geologia,,,Eng. Civil,2,B,
9,,,,CBM,,,Eng. Química,2,B,
9,,,,MTC,,,Gestão,2,B,
9,,,,Música,,,Marketing,2,B,
10,,,,Contabilidade,,,Finanças,1,,
10,,,,ECT,,,GPT,1,,
10,,,,EGI,,,Economia,1,,
10,,,,Eng. Biomédica,,,Biotecnologia,1,,
10,,,,Eng. Mecânica,,,EET,1,,
10,,,,Fisioterapia,,,Administração Pública,1,,
11,,,,Administração Pública,,,ECT,1,,
11,,,,Biotecnologia,,,EGI,1,,
11,,,,EET,,,Eng. Biomédica,1,,
11,,,,Economia,,,Fisioterapia,1,,
11,,,,Finanças,,,Eng. Mecânica,1,,
11,,,,GPT,,,Contabilidade,1,,
LM1,,,,9º Class. 1ª Div.,,,2º Class. 2ª Div. A,,,
LM2,,,,2º Class. 2ª Div. A,,,2º Class. 2ª Div. B,,,
LM3,,,,2º Class. 2ª Div. B,,,9º Class. 1ª Div.,,,
E1,,,,1º Class. 1ª Div.,,,1º Class. 2ª Div. Gr. A,,,
E1,,,,2º Class. 1ª Div.,,,1º Class. 2ª Div. Gr. B,,,
E1,,,,3º Class. 1ª Div.,,,6º Class. 1ª Div.,,,
E1,,,,4º Class. 1ª Div.,,,5º Class. 1ª Div.,,,
E2,,,,Vencedor QF1,,,Vencedor QF4,,,
E2,,,,Vencedor QF2,,,Vencedor QF3,,,
E3L,,,,Vencido MF1,,,Vencido MF2,,,
E3,,,,Vencedor MF1,,,Vencedor MF2,,,
