Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisão,Grupo,Fonte_Data,Fonte_Local,Data_Placeholder,Local_Placeholder,Falta de Comparência
5,2026-02-24 00:00:00,21h00,Caixa UA,Gestão,5.0,3.0,Matemática,2,B,Excel,Excel,False,False,
5,2026-02-24 00:00:00,22h00,Caixa UA,Tradução,1.0,5.0,LRE,2,B,Excel,Excel,False,False,
5,2026-02-24 00:00:00,23h00,Caixa UA,MTC,2.0,5.0,ECT,2,C,Excel,Excel,False,False,
5,2026-02-25 00:00:00,21h00,Caixa UA,Biotecnologia,2.0,6.0,Eng. Civil,2,C,Excel,Excel,False,False,
5,2026-02-25 00:00:00,22h00,Caixa UA,Eng. Mecânica B,3.0,2.0,Administração Pública,2,C,Excel,Excel,False,False,
5,2026-02-25 00:00:00,23h00,Caixa UA,Gestão Pública,5.0,3.0,Marketing,2,C,Excel,Excel,False,False,
5,2026-02-26 00:00:00,21h00,Caixa UA,Eng. Aeroespacial,2.0,0.0,CBM,2,C,Excel,Excel,False,False,
9,2026-02-26 00:00:00,21h00,Caixa UA,Gestão Pública,,,Eng. Mecânica B,2,C,Calendário PDF,Calendário PDF,False,False,
5,2026-02-26 00:00:00,22h00,Caixa UA,EET,1.0,2.0,Contabilidade,1,,Excel,Excel,False,False,
5,2026-03-02 00:00:00,21h00,Caixa UA,Eng. Química,7.0,1.0,Eng. Física,1,,Excel,Excel,False,False,
6,2026-03-02 00:00:00,22h00,Caixa UA,Design,1.0,2.0,ASP,2,A,Excel,Excel,False,False,
6,2026-03-02 00:00:00,23h00,Caixa UA,Eng. Informática,4.0,1.0,Psicologia,2,A,Excel,Excel,False,False,
7,2026-03-03 00:00:00,21h00,Caixa UA,Bioquímica,6.0,5.0,Eng. Biomédica,1,,Calendário PDF (corrigido),Excel,False,False,
7,2026-03-03 00:00:00,22h00,Caixa UA,GPT,3.0,1.0,Contabilidade,1,,Calendário PDF (corrigido),Excel,False,False,
7,2026-03-03 00:00:00,23h00,Caixa UA,Eng. Mecânica,4.0,3.0,Finanças,1,,Calendário PDF (corrigido),Excel,False,False,
6,2026-03-04 00:00:00,17h30,PAH,Eng. Mecânica B,2.0,4.0,Eng. Aeroespacial,2,C,Excel,Excel,False,False,
6,2026-03-04 00:00:00,18h30,PAH,Marketing,8.0,3.0,CBM,2,C,Excel,Excel,False,False,
7,2026-03-05 00:00:00,21h00,Caixa UA,EET,5.0,3.0,Eng. Física,1,,Excel,Excel,False,False,
7,2026-03-05 00:00:00,22h00,Caixa UA,Fisioterapia,1.0,4.0,EGI,1,,Excel,Excel,False,False,
7,2026-03-05 00:00:00,23h00,Caixa UA,Enfermagem,2.0,4.0,Eng. Química,1,,Excel,Excel,False,False,
6,2026-03-08 00:00:00,20h00,Caixa UA,MOC,3.0,11.0,EGI B,2,B,Excel,Excel,False,False,
6,2026-03-08 00:00:00,21h00,Caixa UA,Matemática,4.0,6.0,Eng. Ambiente,2,B,Excel,Excel,False,False,
6,2026-03-08 00:00:00,22h00,Caixa UA,LRE,0.0,2.0,Gestão,2,B,Excel,Excel,False,False,
6,2026-03-08 00:00:00,23h00,Caixa UA,Eng. Computacional,7.0,2.0,Biologia,2,B,Excel,Excel,False,False,
6,2026-03-09 00:00:00,21h00,Caixa UA,ECT,3.0,3.0,Gestão Pública,2,C,Excel,Excel,False,False,
6,2026-03-09 00:00:00,22h00,Caixa UA,Eng. Civil,4.0,1.0,MTC,2,C,Excel,Excel,False,False,
6,2026-03-09 00:00:00,23h00,Caixa UA,Administração Pública,3.0,2.0,Biotecnologia,2,C,Excel,Excel,False,False,
8,2026-03-11 00:00:00,21h00,Caixa UA,Eng. Biomédica,6.0,2.0,Enfermagem,1,,Excel,Excel,False,False,
8,2026-03-11 00:00:00,22h00,Caixa UA,Contabilidade,3.0,3.0,Bioquímica,1,,Excel,Excel,False,False,
8,2026-03-11 00:00:00,23h00,Caixa UA,Finanças,3.0,0.0,GPT,1,,Excel,Excel,False,False,
9,2026-03-16 00:00:00,21h00,Caixa UA,Eng. Biomédica,,,Contabilidade,1,,Excel,Excel,False,False,
9,2026-03-16 00:00:00,22h00,Caixa UA,Bioquímica,,,Finanças,1,,Excel,Excel,False,False,
7,2026-03-16 00:00:00,23h00,Caixa UA,Biologia e Geologia,,,Ciências do Mar,2,A,Excel,Excel,False,False,
7,2026-03-17 00:00:00,21h00,Caixa UA,Psicologia,,,Design,2,A,Excel,Excel,False,False,
7,2026-03-17 00:00:00,22h00,Caixa UA,Economia,,,Eng. Materiais,2,A,Excel,Excel,False,False,
7,2026-03-17 00:00:00,23h00,Caixa UA,ASP,,,Música,2,A,Excel,Excel,False,False,
8,2026-03-19 00:00:00,21h00,Caixa UA,Eng. Física,,,Eng. Mecânica,1,,Excel,Excel,False,False,
8,2026-03-19 00:00:00,22h00,Caixa UA,EGI,,,EET,1,,Excel,Excel,False,False,
8,2026-03-19 00:00:00,23h00,Caixa UA,Eng. Química,,,Fisioterapia,1,,Excel,Excel,False,False,
7,2026-03-23 00:00:00,21h00,Caixa UA,Biologia,,,MOC,2,B,Excel,Excel,False,False,
7,2026-03-23 00:00:00,22h00,Caixa UA,EGI B,,,Matemática,2,B,Excel,Excel,False,False,
7,2026-03-23 00:00:00,23h00,Caixa UA,Eng. Ambiente,,,LRE,2,B,Excel,Excel,False,False,
9,2026-03-23 00:00:00,23h00,Caixa UA,Enfermagem,,,Fisioterapia,1,,Excel,Excel,False,False,
7,2026-03-24 00:00:00,22h15,PAH,CBM,,,ECT,2,C,Excel,Excel,False,False,
7,2026-03-24 00:00:00,23h15,PAH,Gestão Pública,,,Eng. Civil,2,C,Excel,Excel,False,False,
9,2026-03-25 00:00:00,22h00,Caixa UA,Eng. Mecânica,,,EGI,1,,Excel,Excel,False,False,
9,2026-03-25 00:00:00,23h00,Caixa UA,GPT,,,Eng. Física,1,,Excel,Excel,False,False,
9,2026-03-26 00:00:00,20h30,Caixa UA,EET,,,Eng. Química,1,,Excel,Excel,False,False,
7,2026-03-26 00:00:00,21h00,Caixa UA,MTC,,,Administração Pública,2,C,Excel,Excel,False,False,
7,2026-03-26 00:00:00,22h00,Caixa UA,Biotecnologia,,,Eng. Mecânica B,2,C,Excel,Excel,False,False,
7,2026-03-26 00:00:00,23h00,Caixa UA,Eng. Aeroespacial,,,Marketing,2,C,Excel,Excel,False,False,
7,,,,Gestão,,,Tradução,2,B,,,False,False,
8,,,,Ciências do Mar,,,ASP,2,A,,,False,False,
8,,,,Design,,,Eng. Informática,2,A,,,False,False,
8,,,,Eng. Materiais,,,Biologia e Geologia,2,A,,,False,False,
8,,,,Música,,,Psicologia,2,A,,,False,False,
8,,,,LRE,,,EGI B,2,B,,,False,False,
8,,,,MOC,,,Eng. Computacional,2,B,,,False,False,
8,,,,Matemática,,,Biologia,2,B,,,False,False,
8,,,,Tradução,,,Eng. Ambiente,2,B,,,False,False,
8,,,,Administração Pública,,,Gestão Pública,2,C,,,False,False,
8,,,,Biotecnologia,,,Eng. Aeroespacial,2,C,,,False,False,
8,,,,ECT,,,Marketing,2,C,,,False,False,
8,,,,Eng. Civil,,,CBM,2,C,,,False,False,
8,,,,Eng. Mecânica B,,,MTC,2,C,,,False,False,
9,,,,ASP,,,Eng. Materiais,2,A,,,False,False,
9,,,,Biologia e Geologia,,,Economia,2,A,,,False,False,
9,,,,Eng. Informática,,,Música,2,A,,,False,False,
9,,,,Psicologia,,,Ciências do Mar,2,A,,,False,False,
9,,,,Biologia,,,LRE,2,B,,,False,False,
9,,,,EGI B,,,Tradução,2,B,,,False,False,
9,,,,Eng. Ambiente,,,Gestão,2,B,,,False,False,
9,,,,Eng. Computacional,,,Matemática,2,B,,,False,False,
9,,,,CBM,,,Administração Pública,2,C,,,False,False,
9,,,,Eng. Aeroespacial,,,ECT,2,C,,,False,False,
9,,,,MTC,,,Biotecnologia,2,C,,,False,False,
9,,,,Marketing,,,Eng. Civil,2,C,,,False,False,
10,,,,EGI,,,GPT,1,,,,False,False,
10,,,,Enfermagem,,,Contabilidade,1,,,,False,False,
10,,,,Eng. Física,,,Bioquímica,1,,,,False,False,
10,,,,Eng. Química,,,Eng. Mecânica,1,,,,False,False,
10,,,,Finanças,,,Eng. Biomédica,1,,,,False,False,
10,,,,Fisioterapia,,,EET,1,,,,False,False,
11,,,,Bioquímica,,,EGI,1,,,,False,False,
11,,,,Contabilidade,,,Finanças,1,,,,False,False,
11,,,,EET,,,Enfermagem,1,,,,False,False,
11,,,,Eng. Biomédica,,,Eng. Física,1,,,,False,False,
11,,,,Eng. Mecânica,,,Fisioterapia,1,,,,False,False,
11,,,,GPT,,,Eng. Química,1,,,,False,False,
PM1,,,,9º Class. 1ª Div.,,,2º Class. 2ª Div. Gr. B,,,,,,,
PM1,,,,2º Class. 2ª Div. Gr. A,,,2º Class. 2ª Div. Gr. C,,,,,,,
PM2,,,,Vencedor MF1,,,Vencedor MF2,,,,,,,
E1,,,,1º Class. 1ª Div.,,,1º Class. 2ª Div. Gr. C,,,,,,,
E1,,,,2º Class. 1ª Div.,,,1º Class. 2ª Div. Gr. B,,,,,,,
E1,,,,3º Class. 1ª Div.,,,1º Class. 2ª Div. Gr. A,,,,,,,
E1,,,,4º Class. 1ª Div.,,,5º Class. 1ª Div.,,,,,,,
E2,,,,Vencedor QF1,,,Vencedor QF4,,,,,,,
E2,,,,Vencedor QF2,,,Vencedor QF3,,,,,,,
E3L,,,,Vencido MF1,,,Vencido MF2,,,,,,,
E3,,,,Vencedor MF1,,,Vencedor MF2,,,,,,,
