Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisão,Grupo,Fonte_Data,Fonte_Local,Data_Placeholder,Local_Placeholder,Falta de Comparência
5,2026-03-09 00:00:00,22h00,Sintético,Eng. Informática,0.0,2.0,Eng. Materiais,2,A,Excel,Excel,False,False,
5,2026-03-09 00:00:00,23h00,Sintético,Biologia e Geologia,0.0,6.0,Matemática,2,B,Excel,Excel,False,False,
6,2026-03-10 00:00:00,21h00,Sintético,Eng. Biomédica,1.0,3.0,ECT,1,,Excel,Excel,False,False,
6,2026-03-10 00:00:00,23h00,Sintético,EGI,0.0,2.0,Fisioterapia,1,,Excel,Excel,False,False,
6,2026-03-11 00:00:00,22h00,Sintético,EET,7.0,1.0,Economia,1,,Excel,Excel,False,False,
4,2026-03-11 00:00:00,23h00,Sintético,MTC,0.0,4.0,CBM,2,B,Excel,Excel,False,False,
6,2026-03-11 00:00:00,23h00,Sintético,Finanças,,,Administração Pública,1,,Excel,Excel,False,False,Finanças
6,2026-03-12 00:00:00,21h00,Sintético,Biotecnologia,,,Contabilidade,1,,Excel,Excel,False,False,
6,2026-03-16 00:00:00,21h00,Sintético,Matemática,1.0,4.0,CBM,2,B,Excel,Excel,False,False,
5,2026-03-16 00:00:00,23h00,Sintético,Eng. Mecânica B,4.0,0.0,Biologia,2,A,Excel,Excel,False,False,
6,2026-03-16 00:00:00,23h00,Sintético,Música,0.0,7.0,MTC,2,B,Excel,Excel,False,False,
7,2026-03-17 00:00:00,21h00,Sintético,Biotecnologia,2.0,2.0,EET,1,,Excel,Excel,False,False,
7,2026-03-17 00:00:00,22h00,Sintético,Administração Pública,0.0,4.0,Eng. Mecânica,1,,Excel,Excel,False,False,
7,2026-03-17 00:00:00,23h00,Sintético,GPT,6.0,2.0,Eng. Biomédica,1,,Excel,Excel,False,False,
6,2026-03-19 00:00:00,21h00,Sintético,Marketing,3.0,1.0,Biologia e Geologia,2,B,Excel,Excel,False,False,
6,2026-03-19 00:00:00,22h00,Sintético,Gestão,3.0,4.0,Eng. Civil,2,B,Excel,Excel,False,False,
7,2026-03-19 00:00:00,23h00,Sintético,Economia,,,Finanças,1,,Excel,Excel,False,False,Finanças
7,2026-03-23 00:00:00,21h00,Sintético,ECT,1.0,2.0,EGI,1,,Excel,Excel,False,False,
5,2026-03-23 00:00:00,22h00,Sintético,Eng. Civil,2.0,1.0,Marketing,2,B,Excel,Excel,False,False,
7,2026-03-23 00:00:00,23h00,Sintético,Biologia e Geologia,0.0,1.0,Gestão,2,B,Excel,Excel,False,False,
8,2026-03-24 00:00:00,22h00,Sintético,Finanças,,,Biotecnologia,1,,Excel,Excel,False,False,Finanças
8,2026-03-24 00:00:00,23h00,Sintético,Eng. Mecânica,8.0,2.0,Economia,1,,Excel,Excel,False,False,
8,2026-03-25 00:00:00,21h00,Sintético,Eng. Biomédica,3.0,0.0,Administração Pública,1,,Excel,Excel,False,False,
8,2026-03-25 00:00:00,22h00,Sintético,Fisioterapia,2.0,1.0,ECT,1,,Excel,Excel,False,False,
7,2026-03-25 00:00:00,23h00,Sintético,MTC,2.0,1.0,Matemática,2,B,Excel,Excel,False,False,
8,2026-03-25 00:00:00,23h00,Sintético,EET,5.0,1.0,Contabilidade,1,,Excel,Excel,False,False,
6,2026-03-26 00:00:00,22h00,Sintético,Eng. Mecânica,3.0,0.0,GPT,1,,Excel,Excel,False,False,
7,2026-03-30 00:00:00,21h00,Sintético,CBM,8.0,1.0,Marketing,2,B,Excel,Excel,False,False,
7,2026-03-30 00:00:00,22h00,Sintético,Eng. Computacional,4.0,1.0,Geologia,2,A,Excel,Excel,False,False,
7,2026-03-30 00:00:00,23h00,Sintético,Eng. Civil,7.0,1.0,Eng. Química,2,B,Excel,Excel,False,False,
9,2026-04-13 00:00:00,21h00,Sintético,Economia,3.0,0.0,Eng. Biomédica,1,,Excel,Excel,False,False,
8,2026-04-13 00:00:00,22h00,Sintético,EGI,,,GPT,1,,Excel,Excel,False,False,
7,2026-04-13 00:00:00,23h00,Sintético,Contabilidade,,,Fisioterapia,1,,Excel,Excel,False,False,
8,2026-04-14 00:00:00,21h00,Sintético,Gestão,1.0,6.0,CBM,2,B,Excel,Excel,False,False,
8,2026-04-14 00:00:00,22h00,Sintético,Eng. Química,3.0,0.0,Biologia e Geologia,2,B,Excel,Excel,False,False,
9,2026-04-14 00:00:00,23h00,Sintético,Biotecnologia,1.0,6.0,Eng. Mecânica,1,,Excel,Excel,False,False,
8,2026-04-15 00:00:00,20h30,Sintético,Matemática,2.0,2.0,Música,2,B,Excel,Excel,False,False,
8,2026-04-15 00:00:00,21h30,Sintético,Marketing,14.0,0.0,MTC,2,B,Excel,Excel,False,False,
6,2026-04-15 00:00:00,22h30,Sintético,Biologia,0.0,8.0,Tecnologias de Informação,2,A,Excel,Excel,False,False,
6,2026-04-15 00:00:00,23h30,Sintético,Eng. Materiais,2.0,1.0,Eng. Mecânica B,2,A,Excel,Excel,False,False,
9,2026-04-16 00:00:00,21h00,Sintético,Contabilidade,0.0,3.0,ECT,1,,Excel,Excel,False,False,Contabilidade
9,2026-04-16 00:00:00,22h00,Sintético,Administração Pública,0.0,3.0,EGI,1,,Excel,Excel,False,False,
9,2026-04-16 00:00:00,23h00,Sintético,GPT,2.0,3.0,Fisioterapia,1,,Excel,Excel,False,False,
7,2026-04-20 00:00:00,21h00,Sintético,Eng. Mecânica B,,,Eng. Informática,2,A,Excel,Excel,False,False,
7,2026-04-20 00:00:00,22h00,Sintético,Tecnologias de Informação,,,Eng. Materiais,2,A,Excel,Excel,False,False,
10,2026-04-21 00:00:00,21h00,Sintético,EGI,,,Economia,1,,Calendário PDF (Futuro),Excel,False,False,
10,2026-04-21 00:00:00,22h00,Sintético,Fisioterapia,,,Administração Pública,1,,Excel,Excel,False,False,
9,2026-04-21 00:00:00,23h00,Sintético,CBM,,,Eng. Química,2,B,Calendário PDF (Futuro),Excel,False,False,
9,2026-04-22 00:00:00,21h00,Sintético,MTC,,,Gestão,2,B,Calendário PDF (Futuro),Excel,False,False,
9,2026-04-22 00:00:00,22h00,Sintético,Biologia e Geologia,,,Eng. Civil,2,B,Calendário PDF (Futuro),Excel,False,False,
9,2026-04-22 00:00:00,23h00,Sintético,Música,,,Marketing,2,B,Calendário PDF (Futuro),Excel,False,False,
10,2026-04-23 00:00:00,21h00,Sintético,Eng. Biomédica,,,Biotecnologia,1,,Calendário PDF (Futuro),Excel,False,False,
10,2026-04-23 00:00:00,22h00,Sintético,ECT,,,GPT,1,,Calendário PDF (Futuro),Excel,False,False,
4,,,,Eng. Física,,,Tecnologias de Informação,2,A,,,False,False,Eng. Física
5,,,,Eng. Computacional,,,Eng. Física,2,A,,,False,False,Eng. Física
6,,,,Geologia,,,Eng. Física,2,A,,,False,False,Eng. Física
7,,,,Eng. Física,,,Biologia,2,A,,,False,False,Eng. Física
9,,,,EET,,,Finanças,1,,,,False,False,Finanças
10,,,,Contabilidade,,,Finanças,1,,,,False,False,Finanças
11,,,,Administração Pública,,,ECT,1,,,,False,False,
11,,,,Biotecnologia,,,EGI,1,,,,False,False,
11,,,,EET,,,Eng. Biomédica,1,,,,False,False,
11,,,,Economia,,,Fisioterapia,1,,,,False,False,
11,,,,Finanças,,,Eng. Mecânica,1,,,,False,False,Finanças
11,,,,GPT,,,Contabilidade,1,,,,False,False,
LM1,,,,9º Class. 1ª Div.,,,2º Class. 2ª Div. A,,,,,,,
LM2,,,,2º Class. 2ª Div. A,,,2º Class. 2ª Div. B,,,,,,,
LM3,,,,2º Class. 2ª Div. B,,,9º Class. 1ª Div.,,,,,,,
E1,,,,1º Class. 1ª Div.,,,1º Class. 2ª Div. Gr. A,,,,,,,
E1,,,,2º Class. 1ª Div.,,,1º Class. 2ª Div. Gr. B,,,,,,,
E1,,,,3º Class. 1ª Div.,,,6º Class. 1ª Div.,,,,,,,
E1,,,,4º Class. 1ª Div.,,,5º Class. 1ª Div.,,,,,,,
E2,,,,Vencedor QF1,,,Vencedor QF4,,,,,,,
E2,,,,Vencedor QF2,,,Vencedor QF3,,,,,,,
E3L,,,,Vencido MF1,,,Vencido MF2,,,,,,,
E3,,,,Vencedor MF1,,,Vencedor MF2,,,,,,,
